name,domain,categories,country_iso_3166_1_alpha_3,latest_funding_type,employee_count_int4range,founded_on_date,li_employee_count_integer,ig_followers_count_integer,ig_following_count_integer,ig_latest_9_posts_max_likes,ig_posts_count_integer,total_funding_usd_bigint,latest_funding_amount_bigint,funding_round_count_integer,score
Lepaya,lepaya.com,Education,NLD,series_a,"[11, 51)",2018-01-01,,381.0,279.0,38.0,188.0,7344357.0,6321305.0,2,5
Endeavor Schools,endeavorschools.com,Education,USA,private_equity,"[51, 201)",2012-01-01,96.0,,,,,14000000.0,,2,5
Reforge,reforge.com,Education,USA,series_a,"[51, 201)",2016-01-01,131.0,,,,,21000000.0,21000000.0,1,5
Capture Higher Ed,capturehighered.com,Education,USA,series_unknown,"[51, 201)",2011-07-01,73.0,,,,,9074808.0,7874808.0,3,5
Square Panda,squarepanda.in,Education,USA,series_unknown,"[51, 201)",2014-01-01,77.0,,,,,13001313.0,9344998.0,2,5
International Schools Partnership,internationalschoolspartnership.com,Education,GBR,secondary_market,"[201, 501)",2012-01-01,202.0,,,,,580188103.0,580188103.0,1,5
FutureLearn,futurelearn.com,Education,GBR,corporate_round,"[201, 501)",2012-01-01,290.0,42097.0,646.0,444.0,336.0,64659464.0,64659464.0,1,5
Tinkergarten,tinkergarten.com,Education,USA,series_b,"[201, 501)",2014-10-28,304.0,35236.0,2008.0,300.0,876.0,29295000.0,21000000.0,5,5
CollegeVine,collegevine.com,Education,USA,series_b,"[251, 501)",2013-01-01,,,,,,30700000.0,24000000.0,3,5
Supersapiens,supersapiens.com,Sports,USA,series_unknown,"[11, 51)",2019-01-01,,,,,,13500000.0,13500000.0,1,5
TOCA Football,tocafootball.com,Sports,USA,series_unknown,"[51, 201)",2016-01-01,159.0,10234.0,366.0,94.0,873.0,51460671.0,15000000.0,4,5
OneFit,one.fit,Sports,NLD,series_a,"[51, 201)",2013-01-01,77.0,,,,,6031891.0,5079030.0,2,5
The Wanderlust Group,wanderlustgroup.com,Sports,USA,series_b,"[51, 201)",2014-08-01,55.0,,,,,22847765.0,14200000.0,4,5
Generation Esports,generationesports.com,Sports,USA,series_a,"[51, 201)",2012-01-01,62.0,,,,,10800000.0,10800000.0,1,5
Oakview Group,oakviewgroup.com,Sports,USA,private_equity,"[101, 251)",2015-01-01,,442.0,54.0,81.0,14.0,100000000.0,100000000.0,1,5
City Football Group,cityfootballgroup.com,Sports,GBR,private_equity,"[1001, 5001)",2013-01-01,,,,,,500000000.0,500000000.0,1,5
nCent Labs,ncent.io,Internet Services,USA,seed,"[1, 11)",2017-01-01,3.0,,,,,10250000.0,10250000.0,1,5
Se faire aider,sefaireaider.com,Internet Services,FRA,series_unknown,"[1, 11)",2012-04-19,3.0,,,,,18661532.0,5177922.0,3,5
OneDay,oneday.com,Internet Services,USA,series_a,"[1, 11)",2012-01-01,,,,,,5200000.0,5200000.0,1,5
412 Networks Inc.,412networks.com,Internet Services,USA,series_a,"[1, 11)",2016-02-01,,,,,,7670106.0,7670106.0,1,5
Ekco,ek.co,Internet Services,IRL,series_unknown,"[1, 11)",2015-01-01,4.0,,,,,18689202.0,9224211.0,2,5
Audoo,audoo.com,Internet Services,GBR,series_a,"[11, 51)",2018-09-01,23.0,,,,,8746660.0,6659700.0,4,5
Giganet,giga.net.uk,Internet Services,GBR,corporate_round,"[11, 51)",2012-01-01,,,,,,354737232.0,354737232.0,1,5
Hosman,hosman.co,Internet Services,FRA,series_unknown,"[11, 51)",2017-01-01,,2121.0,805.0,49.0,222.0,9038001.0,7308001.0,2,5
Wormhole Labs,wormholelabs.com,Internet Services,USA,seed,"[11, 51)",2012-06-14,20.0,,,,,8525000.0,8000000.0,2,5
Pronto,pronto.io,Internet Services,USA,series_b,"[11, 51)",2015-01-01,32.0,,,,,7500000.0,7500000.0,1,5
Orbit,orbit.love,Internet Services,USA,series_a,"[11, 51)",2019-09-01,24.0,,,,,19950000.0,15000000.0,3,5
Jola,jola.co.uk,Internet Services,GBR,series_unknown,"[11, 51)",2014-01-01,33.0,,,,,14089793.0,14089793.0,1,5
Codi,codi.com,Internet Services,USA,seed,"[11, 51)",2018-01-01,26.0,,,,,13900000.0,7000000.0,5,5
DADI,dadi.cloud,Internet Services,GBR,series_unknown,"[11, 51)",2013-07-01,,0.0,1.0,,0.0,30000000.0,30000000.0,2,5
Voice,voice.com,Internet Services,USA,corporate_round,"[51, 201)",2020-01-01,132.0,,,,,150000000.0,150000000.0,1,5
Zenhomes,zenhomes.com,Internet Services,DEU,series_a,"[51, 201)",2016-01-01,59.0,,,,,14405949.0,14405949.0,1,5
Geneva,genevachat.com,Internet Services,USA,series_a,"[51, 201)",2019-01-01,52.0,,,,,22000000.0,12000000.0,3,5
Neeva,neeva.co,Internet Services,USA,series_b,"[51, 201)",2019-01-31,60.0,,,,,77500000.0,40000000.0,2,5
Looped,loopedlive.com,Entertainment,USA,seed,"[11, 51)",2018-01-01,38.0,12754.0,571.0,152.0,181.0,7700000.0,7700000.0,2,5
HPNow,hpnow.dk,Science and Engineering,DNK,seed,"[1, 11)",2015-01-01,,,,,,5863773.0,5863773.0,2,5
Next Level Aviation,nextlevelaviation.net,Science and Engineering,USA,series_unknown,"[1, 11)",2013-01-01,,,,,,15000000.0,15000000.0,1,5
BioPhero,biophero.com,Science and Engineering,DNK,series_a,"[1, 11)",2016-01-01,,,,,,20328950.0,16828293.0,2,5
Quantum Motion Technologies,quantummotion.tech,Science and Engineering,GBR,series_a,"[1, 11)",2017-07-01,,,,,,9787202.0,9787202.0,2,5
Nelumbo,nelumbo.io,Science and Engineering,USA,series_a,"[11, 51)",2015-01-01,36.0,,,,,19500000.0,14000000.0,3,5
Peak Nano Optics,peaknano.com,Science and Engineering,USA,series_c,"[11, 51)",2015-01-01,,,,,,30800000.0,25000000.0,3,5
Unseenlabs,unseenlabs.space,Science and Engineering,FRA,series_b,"[11, 51)",2015-01-01,16.0,,,,,32875265.0,24179996.0,2,5
Aqdot,aqdot.com,Science and Engineering,GBR,series_unknown,"[11, 51)",2012-01-01,27.0,,,,,24071784.0,8914188.0,6,5
Olikrom,olikrom.com,Science and Engineering,FRA,series_a,"[11, 51)",2014-01-01,21.0,,,,,5627722.0,5286822.0,2,5
Vertosa,vertosa.com,Science and Engineering,USA,seed,"[11, 51)",2018-01-01,,1791.0,478.0,77.0,243.0,6000000.0,6000000.0,2,5
Syzygy Plasmonics,plasmonics.tech,Science and Engineering,USA,series_b,"[11, 51)",2017-01-01,35.0,,,,,28800000.0,23000000.0,2,5
Aerospacelab,aerospacelab.be,Science and Engineering,BEL,seed,"[51, 201)",2016-01-01,70.0,,,,,11000000.0,11000000.0,1,5
Archer,flyarcher.com,Science and Engineering,USA,series_a,"[101, 251)",2020-01-01,,,,,,55700000.0,55700000.0,1,5
Rent Ready,rentready.com,Administrative Services,USA,series_a,"[51, 201)",2014-01-01,53.0,,,,,11500000.0,10000000.0,2,5
301 Prado Group,301prado.com,Other,USA,series_a,"[1, 11)",2019-01-01,,,,,,5880000.0,5880000.0,1,5
Lucy Goods,lucy.co,Other,USA,series_a,"[11, 51)",2016-01-01,14.0,,,,,10000000.0,10000000.0,2,5
TechnoFOUNDERS,technofounders.com,Other,FRA,series_unknown,"[11, 51)",2014-01-01,,,,,,5298732.0,5298732.0,1,5
Gravyty,gravyty.com,Other,USA,private_equity,"[11, 51)",2016-01-01,34.0,,,,,23455000.0,21000000.0,5,5
ShiftPixy,shiftpixy.com,Other,USA,post_ipo_equity,"[51, 201)",2015-01-01,66.0,158.0,208.0,11.0,84.0,14429640.0,12000000.0,3,5
Removery,removery.com,Other,USA,private_equity,"[51, 201)",2019-01-01,104.0,,,,,50000000.0,50000000.0,1,5
MabPlex International,mabplex.com,Other,USA,series_b,"[51, 101)",2013-01-01,,,,,,129737620.0,70708356.0,2,5
Bellhop,getbellhops.com,Other,USA,series_c,"[101, 251)",2011-01-01,,,,,,58600000.0,31400000.0,8,5
Evertas,evertas.com,Insurance,USA,seed,"[1, 11)",2017-01-01,6.0,,,,,8600000.0,5800000.0,2,5
Cephea Valve Technologies,cephea.com,Health Care,USA,series_unknown,"[1, 11)",2011-01-01,6.0,,,,,21207979.0,14708647.0,2,5
Mirata Pharmaceuticals,miratapharmaceuticals.com,Health Care,USA,series_unknown,"[1, 11)",2017-01-01,,,,,,10950001.0,3900001.0,2,5
Protaryx Medical,protaryx.com,Health Care,USA,series_a,"[1, 11)",2019-01-01,,,,,,8300000.0,5100000.0,2,5
OneProjects,one-projects.com,Health Care,IRL,series_a,"[1, 11)",2017-01-01,,,,,,12443918.0,12443918.0,1,5
Cardio Flow,cardioflow.net,Health Care,USA,series_unknown,"[1, 11)",2014-01-01,2.0,,,,,13252591.0,2723742.0,9,5
Gesynta Pharma,gesynta.se,Health Care,SWE,seed,"[1, 11)",2017-01-01,9.0,,,,,6733251.0,6733251.0,1,5
Qvin,qurasense.com,Health Care,USA,series_unknown,"[1, 11)",2014-01-01,,,,,,12266023.0,12266023.0,4,5
Coagulo Medical Technologies,coagulomed.com,Health Care,USA,series_unknown,"[1, 11)",2018-01-01,,,,,,6500000.0,6500000.0,3,5
UKCloud Health,ukcloudhealth.com,Health Care,USA,private_equity,"[1, 11)",2011-01-01,10.0,,,,,33160589.0,33160589.0,1,5
Topography,jointopo.com,Health Care,USA,series_unknown,"[1, 11)",2020-01-01,,,,,,5854998.0,5854998.0,2,5
Sterifre Medical,sterifre.com,Health Care,USA,series_b,"[1, 11)",2016-01-01,8.0,,,,,20000000.0,8000000.0,2,5
InFuse Holdings,infuseholdings.com,Health Care,USA,series_a,"[1, 11)",2019-01-01,,,,,,8100000.0,8100000.0,1,5
Venari Medical,venarimedical.com,Health Care,IRL,seed,"[1, 11)",2018-01-01,,,,,,5300000.0,5300000.0,2,5
Oculeve,oculeve.com,Health Care,USA,series_unknown,"[1, 11)",2011-01-01,2.0,,,,,32305473.0,16649997.0,4,5
Oxford Endovascular,oxfordendovascular.com,Health Care,GBR,series_a,"[1, 11)",2015-01-01,,,,,,18200752.0,9888195.0,7,5
Endostart,endostart.com,Health Care,ITA,series_b,"[1, 11)",2018-01-01,7.0,,,,,11142186.0,9996526.0,2,5
Naia Pharmaceuticals,naiapharma.com,Health Care,USA,series_a,"[1, 11)",2014-01-01,,,,,,5300000.0,5300000.0,1,5
Tremeau Pharmaceuticals,tremeaurx.com,Health Care,USA,series_unknown,"[1, 11)",2016-01-01,,,,,,5200000.0,5200000.0,1,5
TAS Medical,tasmedical.net,Health Care,USA,series_unknown,"[1, 11)",2017-01-01,5.0,,,,,8072633.0,5238633.0,4,5
H-CYTE,hcyte.com,Health Care,USA,post_ipo_equity,"[1, 11)",2013-01-01,,,,,,6000000.0,6000000.0,1,5
KLOwen Braces,klowenbraces.com,Health Care,USA,undisclosed,"[1, 11)",2019-01-01,,587.0,1205.0,34.0,80.0,6000000.0,5950000.0,2,5
DyaMX,dyamx.com,Health Care,USA,series_unknown,"[1, 11)",2017-01-01,,,,,,24996355.0,12000000.0,5,5
PhotoniCare,photoni.care,Health Care,USA,series_a,"[1, 11)",2013-01-01,,110.0,37.0,16.0,93.0,11698206.0,5200000.0,8,5
Nemaura Medical,nemauramedical.com,Health Care,GBR,post_ipo_debt,"[1, 11)",2011-01-01,6.0,,,,,25000000.0,20000000.0,2,5
Remedee Labs,remedee.com,Health Care,FRA,series_a,"[1, 11)",2016-07-06,,,,,,12000000.0,12000000.0,1,5
Aardvark Therapeutics,aardvarktherapeutics.com,Health Care,USA,series_unknown,"[1, 11)",2017-01-01,,,,,,9000003.0,9000003.0,1,5
Jasper Health,hellojasper.com,Health Care,USA,series_unknown,"[1, 11)",2020-01-01,,,,,,6750850.0,6750850.0,1,5
AblaCare,ablacare.com,Health Care,FRA,series_a,"[1, 11)",2017-01-01,6.0,,,,,11204444.0,11204444.0,2,5
Cyrano Therapeutics,cyranotherapeutics.com,Health Care,USA,series_a,"[1, 11)",2014-01-01,4.0,,,,,12800000.0,12800000.0,1,5
CoNextions Medical,conextionsmed.com,Health Care,USA,series_unknown,"[1, 11)",2011-01-01,,,,,,12768937.0,2326935.0,6,5
DeVoro Medical,devoromedical.com,Health Care,USA,series_unknown,"[1, 11)",2018-01-01,10.0,,,,,8498427.0,8498427.0,1,5
Raziel Health,raziel-therapy.com,Health Care,USA,series_c,"[1, 11)",2012-01-01,,,,,,22000000.0,22000000.0,1,5
Tissue Differentiation intelligence,tissueintel.com,Health Care,USA,series_unknown,"[1, 11)",2017-01-01,,,,,,6000000.0,6000000.0,1,5
Kingdom Home,kingdomhhs.com,Health Care,USA,series_unknown,"[1, 11)",2020-01-01,,,,,,7500000.0,7500000.0,1,5
RDMD,rdmd.com,Health Care,USA,series_a,"[1, 11)",2017-11-01,,,,,,17130000.0,14000000.0,2,5
Vascular Flow Technologies,vascular-flow.com,Health Care,GBR,series_b,"[1, 11)",2012-01-01,9.0,,,,,14339299.0,4300000.0,4,5
Palo Alto Health Sciences,pahealthsciences.com,Health Care,USA,series_unknown,"[1, 11)",2013-01-01,,,,,,10215280.0,3525000.0,4,5
Community Based Care,cbcarellc.com,Health Care,USA,series_unknown,"[1, 11)",2015-01-01,,,,,,7500000.0,7500000.0,1,5
SafeHeal,safehealmedical.com,Health Care,FRA,series_a,"[1, 11)",2015-01-01,,,,,,7415693.0,7415693.0,2,5
ApcinteX,apcintex.com,Health Care,GBR,series_a,"[1, 11)",2014-06-16,,,,,,17527255.0,17527255.0,1,5
Vensun Pharmaceuticals,vensunrx.com,Health Care,USA,series_c,"[1, 11)",2011-01-01,5.0,,,,,49688000.0,22500000.0,5,5
Elucent Medical,elucentmedical.com,Health Care,USA,series_unknown,"[1, 11)",2014-01-01,,,,,,19600000.0,12000000.0,3,5
Ophelia,ophelia.com,Health Care,USA,series_a,"[1, 11)",2019-01-01,,,,,,17700000.0,15000000.0,2,5
Moray Medical,moraymedical.com,Health Care,USA,seed,"[1, 11)",2015-06-01,,,,,,5700000.0,5700000.0,1,5
Cristcot,cristcot.com,Health Care,USA,series_unknown,"[1, 11)",2013-01-01,5.0,,,,,22508639.0,13728492.0,4,5
3Scan,3scan.com,Health Care,USA,series_b,"[1, 11)",2011-01-01,5.0,,,,,21063012.0,14000000.0,5,5
Empirical Spine,limiflex.com,Health Care,USA,series_b,"[1, 11)",2015-01-01,7.0,,,,,10000000.0,10000000.0,2,5
Rob Surgical Systems,robsurgical.com,Health Care,ESP,series_unknown,"[1, 11)",2012-01-01,,,,,,5475678.0,5475678.0,1,5
Sharp Fluidics,sharpfluidics.com,Health Care,USA,series_a,"[1, 11)",2014-01-01,,,,,,6750712.0,6750712.0,1,5
Melt Pharmaceuticals,meltpharma.com,Health Care,USA,series_a,"[1, 11)",2019-01-01,3.0,,,,,11000000.0,11000000.0,1,5
VisCardia,viscardia.com,Health Care,USA,series_b,"[1, 11)",2015-01-01,4.0,,,,,12900000.0,12500000.0,2,5
Zelegent,zelegent.com,Health Care,GBR,series_unknown,"[1, 11)",2015-01-01,6.0,7.0,4.0,,2.0,11150000.0,8650000.0,3,5
Oska Wellness,oskawellness.com,Health Care,USA,series_a,"[1, 11)",2015-01-01,,1158.0,586.0,51.0,359.0,5500000.0,5500000.0,1,5
Protea Medical,protealife.com,Health Care,USA,series_unknown,"[1, 11)",2012-01-01,10.0,0.0,0.0,,0.0,8000000.0,8000000.0,1,5
Lyric Pharmaceuticals,lyricpharma.com,Health Care,USA,series_a,"[1, 11)",2013-01-01,,,,,,20400000.0,20400000.0,1,5
Adavium,adavium.com,Health Care,USA,series_c,"[1, 11)",2011-01-01,8.0,,,,,41000000.0,21000000.0,2,5
Catalyst OrthoScience,catalystortho.com,Health Care,USA,series_c,"[1, 11)",2014-01-01,,,,,,18300000.0,12700000.0,3,5
Orphan Star Therapeutics,orphan-star.com,Health Care,USA,series_unknown,"[1, 11)",2018-01-01,,,,,,20000000.0,20000000.0,1,5
Noctrix Health,noctrixhealth.com,Health Care,USA,series_b,"[1, 11)",2018-09-26,8.0,,,,,17000000.0,17000000.0,3,5
Candesant Biomedical,candesant.com,Health Care,USA,series_unknown,"[1, 11)",2016-01-01,8.0,,,,,9133432.0,9133432.0,1,5
Eximis Surgical,eximissurgical.com,Health Care,USA,series_a,"[1, 11)",2014-01-01,,,,,,31168376.0,17000000.0,6,5
TRACT Therapeutics,tracttherapeutics.com,Health Care,USA,series_unknown,"[1, 11)",2013-01-01,,,,,,15000000.0,15000000.0,1,5
Bryn Pharma,brynpharma.com,Health Care,USA,series_unknown,"[1, 11)",2017-01-01,,,,,,54951965.0,11000000.0,5,5
Spyglass Ophthalmics,spyglassophthalmics.com,Health Care,USA,series_b,"[1, 11)",2019-01-01,,,,,,27500000.0,27500000.0,2,5
​Oxford Vacmedix,oxfordvacmedix.com,Health Care,GBR,series_a,"[1, 11)",2012-01-01,3.0,,,,,12500000.0,12500000.0,2,5
HyGIeaCare,hygieacare.com,Health Care,USA,series_c,"[1, 11)",2014-01-01,,,,,,15500000.0,15500000.0,1,5
Reprieve Cardiovascular,reprievecardio.com,Health Care,USA,series_unknown,"[1, 11)",2018-01-01,9.0,,,,,22000000.0,15000000.0,2,5
Seraphina Therapeutics,seraphinatherapeutics.com,Health Care,USA,series_a,"[1, 11)",2017-01-01,,,,,,5500000.0,5500000.0,1,5
Dracen Pharmaceuticals,dracenpharma.com,Health Care,USA,series_a,"[1, 11)",2016-01-01,10.0,,,,,40000000.0,40000000.0,1,5
CinCor Pharma,cincor.com,Health Care,USA,series_a,"[1, 11)",2018-01-01,,,,,,50000000.0,50000000.0,1,5
Provisio Medical,provisiomedical.com,Health Care,USA,seed,"[1, 11)",2014-01-01,,,,,,13095032.0,4000002.0,3,5
(med)24,med24.clinic,Health Care,GBR,seed,"[1, 11)",2018-10-31,9.0,,,,,6553295.0,6553295.0,1,5
Stack Diagnostics,stackdiagnostics.com,Health Care,USA,series_unknown,"[1, 11)",2018-01-01,3.0,,,,,18801384.0,18651384.0,2,5
UroMems,uromems.com,Health Care,FRA,series_b,"[1, 11)",2011-01-01,,,,,,40893722.0,8311733.0,5,5
iVIEW Therapeutics,iviewtherapeutics.com,Health Care,USA,undisclosed,"[1, 11)",2015-01-01,,,,,,6981668.0,6981668.0,1,5
Waveguide,waveguidecorp.com,Health Care,USA,series_unknown,"[1, 11)",2012-01-01,,,,,,17351380.0,3431000.0,3,5
TurnCare,turncareinc.com,Health Care,USA,series_unknown,"[1, 11)",2011-01-01,,,,,,10254342.0,6898989.0,2,5
Scienture,scienture.com,Health Care,USA,series_unknown,"[1, 11)",2019-01-01,4.0,,,,,6000000.0,6000000.0,1,5
Biodol Therapeutics,biodol.eu,Health Care,FRA,series_a,"[1, 11)",2015-01-01,7.0,,,,,5371518.0,5371518.0,1,5
Anji Pharmaceuticals,anjipharma.com,Health Care,USA,series_a,"[1, 11)",2018-01-01,7.0,,,,,35000000.0,12000000.0,3,5
Saranas,saranas.com,Health Care,USA,series_c,"[1, 11)",2011-01-01,,,,,,18727489.0,2800000.0,9,5
Renibus Therapeutics,renibus.com,Health Care,USA,series_unknown,"[1, 11)",2015-01-01,,,,,,27172000.0,16253000.0,2,5
RENOVION,renovion.com,Health Care,USA,series_a,"[1, 11)",2013-01-01,,,,,,14362728.0,8100000.0,6,5
MURJ,murj.com,Health Care,USA,series_b,"[1, 11)",2014-01-01,,,,,,14149999.0,8500000.0,3,5
Generian Pharmaceuticals,generian.com,Health Care,USA,series_unknown,"[1, 11)",2019-01-01,5.0,,,,,12989999.0,12989999.0,1,5
ShiraTronics,shiratronics.com,Health Care,USA,series_a,"[1, 11)",2018-01-01,,,,,,36000000.0,3000000.0,2,5
Verismo Therapeutics,verismotherapeutics.com,Health Care,USA,series_unknown,"[1, 11)",2020-01-01,,,,,,16000000.0,16000000.0,1,5
Odyssey Group Intl,odysseygi.com,Health Care,USA,post_ipo_equity,"[1, 11)",2014-01-01,,,,,,10250000.0,10250000.0,1,5
Cambridge Therapeutic Technologies,cambridgett.com,Health Care,USA,series_unknown,"[1, 11)",2011-01-01,,,,,,6000000.0,6000000.0,1,5
General Fluidics,generalfluidics.com,Health Care,USA,series_unknown,"[1, 11)",2014-01-01,9.0,,,,,5378000.0,5378000.0,1,5
Euphrates Vascular,euphratesvascular.com,Health Care,USA,series_unknown,"[1, 11)",2018-01-01,7.0,,,,,5984167.0,5984167.0,1,5
SafeOp Surgical,safeopsurgical.com,Health Care,USA,series_unknown,"[1, 11)",2011-01-01,,,,,,10872062.0,5651779.0,4,5
