https://mainichi.jp/english/covid-vaccination-close-up/,,,,
title,content,written_date,bin_score,score
Study: Chinese COVID shot may offer elderly poor protection,"BUDAPEST, Hungary (AP) -- A new study suggests that a Sinopharm vaccine offers poor protection from COVID-19 among the elderly, raising questions for dozens of countries that have given the Chinese company's shots to their most vulnerable populations.

A survey of blood samples taken from 450 people in Hungary at least two weeks after their second Sinopharm dose found that 90% under 50 years old developed protective antibodies. But the percentage declined with age, and 50% of those over 80 had none.

The study by two Hungarian researchers was posted online this week but not yet reviewed by other scientists. Three outside experts said they had no problems with the methodology of the study of the vaccine developed by Sinopharm's Beijing Institute of Biological Products.

""This is very, very worrying that these people, who are high-risk, have a poor antibody response,"" said Jin Dong-yan, a Hong Kong University virologist who was not affiliated with the study.

Antibody levels are not a direct measure of how protected a person is from COVID-19, but there is growing evidence that they are a good proxy. One expert cautioned that the choice of test kits could have limited the accuracy of the measurements.

Still, the study's findings have value and are the first public, scientific attempt to analyze the effect of the Sinopharm vaccine in the elderly, said Wang Chenguang, a former professor at Peking Union Medical College and an immunology expert.

China's National Health Commission declined to comment on the study, saying it would only respond to studies by governments or major research institutions.

This is not the first time questions have been raised about the efficacy of the vaccine, which was given a greenlight by the World Health Organization in May and is being used in more than 50 countries, many of which seized upon it when other vaccines were tough to come by.

A spokesperson for the WHO said Wednesday that its experts ""are aware of the study and continue to look at all available evidence."" The agency's advisers raised questions months ago about whether it provided protection in people 60 and over, but when it was OK'd a WHO expert said that there was no reason to think it would work differently in the elderly.

The vaccine is one of two similar shots developed by Sinopharm. The state-owned Chinese company's research showed that almost all the participants in final-stage clinical trials were under 60 -- and its own researchers said there was insufficient evidence to say whether the vaccines work in the elderly. Overall, the Beijing Institute vaccine was found to be 78% effective.

In Hungary, concern about the shots led many to seek out private antibody tests. Eventually the capital city of Budapest offered free testing to elderly residents as part a bid to ratchet up pressure on the government to conduct its own wider survey and provide booster shots to those who need them.

After initially rebuffing calls for a government response to efficacy concerns -- including from the antibody study's authors Balazs Sarkadi and Tamas Ferenci -- Prime Minster Viktor Orban finally acquiesced last week in the face of growing public anger. He announced that the government would provide its citizens with an optional third shot.

His office said, though, that all vaccines authorized by Hungary are effective.

The United Arab Emirates and Bahrain both announced in May that they, too, would offer a third dose of Sinopharm amid concerns about an insufficient antibody response. Bahrain recommended that people over 50 and some other vulnerable people receive Pfizer-BioNTech's vaccine as their booster regardless of whether they got Sinopharm initially.

CNBG, the Sinopharm subsidiary that oversees the Beijing Institute, has said a third dose is not part of the company's clinical guidance.

It's not clear how many doses of the Beijing Institute Sinopharm vaccine have been exported. Overall, China exported 500 million vaccines doses in the first half of the year, and the company is one of country's two major COVID vaccine makers, along with privately owned Sinovac.

The Global Alliance for Vaccines and Immunization recently ordered 550 million doses from the two companies for the U.N.-backed COVAX program.

Both Sinopharm vaccines are also in wide use in China, including in the elderly. The country's National Health Commission said in April that the shots provide some protection, even though it acknowledged that early stages of clinical trials of Sinopharm's vaccines and two others found fewer antibodies in people 60 and over.

In Budapest, Beata Englohner became concerned for her 76-year-old mother after hearing that people who had been vaccinated with Sinopharm were shown to have no antibodies.

Englohner started a Facebook group to press the government to address the issue. She is cautiously optimistic now that Hungary will offer a third dose.

""We're very glad that we achieved our aim and that we were heard,"" she said. ""Though we're a bit afraid that we'll receive what we already got before.""","July 24, 2021",0,1
Interview: Japan minister urges vaccines for young,"OKYO (AP) -- As Olympics host Tokyo saw another record number of coronavirus cases Wednesday, Japan's vaccination minister said the speed of the country's inoculation campaign is less urgent than getting shots to young adults, whom some health experts are blaming for the current surge in infections.

Taro Kono told The Associated Press that Japan is ""overshooting"" its goal of a million shots a day, so ""speed doesn't matter anymore."" He said Japan is averaging about 10 million shots a week after a late start that critics have blamed on extra red tape.

""Even if we slow down a little bit, I'm OK. Rather, we need to reach out to the younger people, so that they would feel that it's necessary for them to get vaccinated,"" Kono said during an interview in his office. ""If we could vaccinate (those in their) 20s or people in (their) 30s for 80% or higher, it would be a good number for me.""

He said officials will turn to the internet to get the message out to young adults and work to combat vaccine misinformation. Young adults are now eligible for vaccinations under Japan's largely age-based immunization system, but many are not eager.

Tokyo reported 3,177 new coronavirus cases Wednesday, an all-time high for the city and the first time it exceeded 3,000 infections in a day. The new cases bring the total for the Japanese capital to 206,745 since the pandemic began.

Tokyo is under its fourth state of emergency, which will last through the Olympics and stop two days before the Paralympics begin Aug. 24. Experts had earlier warned that the more contagious delta variant could cause a surge during the Olympics, which started Friday.

Some scientists have questioned holding the Tokyo Games at all, and there is widespread public opposition to them. Many fear that the tens of thousands of visitors will make the virus situation worse.

Kono said he was confident that a ""bubble"" is keeping Olympic visitors away from regular Japanese citizens, reducing the risk of more cases. He also said he didn't think the Games would create a ""Tokyo variant"" of the virus that could spread around the globe.

""We're not really worried about that issue,"" Kono said.

The International Olympic Committee says more than 80% of athletes and staff staying in the Olympic Village have been vaccinated -- and they are expected to remain largely in the locked-down athletes' village and venues. Still, the bubble is based more on the honor system than official enforcement.

Vaccination rates are not clear for other participants coming from abroad, many of whom are staying in Tokyo hotels, and experts warn that even strict rules won't prevent people from mingling, especially among non-athletes.

""There's a limit to the bubble,"" with reporters and other people going in and out, said Dr. Kazuhiro Tateda, a Toho University infectious diseases expert who is on a government COVID-19 panel.

While Japan has so far kept its cases and deaths lower than many other countries, its vaccination campaign started with health care workers only in mid-February, behind many other large economies. Japan required additional clinical testing for the vaccines, a time-consuming step that many experts called medically meaningless.

Kono said Parliament demanded the additional tests, and that there's a long history of people suing the government over vaccination campaigns.

""Now we've learned a lesson, so if there's going to be another pandemic, I think we would do it a different way, for sure,"" Kono said.

Health experts have noted that cases among younger, unvaccinated people are rising sharply. While about two-thirds of Wednesday's cases were people in their 30s or below, those in their 40s and 50s now dominate Tokyo's nearly 3,000 hospitalized patients and are gradually filling up available beds.

Dr. Ryuji Wakita, director general of the National Institute of Infections Diseases and head of a government advisory board, said vaccination progress has been limited mostly to elderly people.

Wakita acknowledged that the rise of serious cases is modest compared to the sharp increase of daily cases, but even so, the ongoing surge could cause younger and unvaccinated patients to develop serious cases while being left untreated.

Inoculations for the elderly started in mid-April, but were slowed by initial supply shortages, cumbersome reservation procedures and a lack of medical workers to give shots. The pace then picked up in mid-May when imports stabilized and more staff to give the shots was secured.

The government says 33.4 million people, or 26.3% of the public, have been fully vaccinated and 47 million, or 37%, have had at least one shot as of Monday. About 25 million elderly people, or about 70%, are completely inoculated while 30 million, or 85%, have had at least one dose.

Despite Kono's comments on the speed of inoculations, there are still worries about the vaccination pace.

Workplace inoculations began in mid-June, with thousands of companies applying for a chance to vaccinate employees. But the government then indefinitely stopped taking such applications because of tight vaccine supplies and vaccinations at about half of 5,000 worksite locations have been on hold.

Vaccine distributions from the central government to municipalities also declined, from 18.7 million doses in June to 12 million doses for July-August, forcing towns across the country to postpone or suspend vaccination reservations.

Japan had received about 100 million COVID-19 vaccine doses by June, and an additional 70 million shots are expected between July and September. Prime Minister Yoshihide Suga has tried to accelerate the delivery of vaccines, including in a meeting with the CEO of Pfizer.

Suga is under increasing pressure, and his political future may be tied in part to an Olympics that are perceived as successful. There's also the geopolitical competition with rival Beijing, the next Olympics host, to make sure the Games go off without major calamity.

Asked about the political considerations of going through with the Tokyo Games, Kono said: ""I think it's irrelevant.""","July 28, 2021",1,3
COVID-19 vaccinations completed for 5.67 million medical workers in Japan,"TOKYO -- Taro Kono, minister in charge of administrative reform and COVID-19 vaccination efforts, announced at a July 27 news conference that vaccinations for medical workers in all 47 of Japan's prefectures had been completed as of July 23.

The National Governors' Association, which assesses the vaccination situation in each prefecture, also made the announcement on its website on July 27.

Though it was initially envisaged that around 4.8 million medical workers would be subject to inoculations, as many as 5.67 million workers had received two shots, according to the Japanese government's tally.

Inoculations of medical workers began on Feb. 17 ahead of the general public. Vaccinations in the last remaining prefecture of Hyogo were completed on July 23.

Kono commented in a news conference, ""Though the number of medical workers far exceeded the initial assumption, the task has been completed anyway."" He explained that medical workers who required vaccinations later would receive shots in the same way as the general public.","July 28, 2021",1,5
"As Japan rolls out vaccine passports, numerous challenges still lie ahead","TOKYO -- Japan faces a plethora of issues as its local municipalities nationwide have kickstarted accepting applications for so-called ""vaccine passports"" that publicly certify holders have been fully vaccinated against COVID-19.

If presented upon arrival in a foreign country, holders of the passports will be exempted from quarantine measures. While the government expects the new travel documents will help resume Japanese business activities abroad, their effects are still limited as there are only seven countries that currently accept entry of vaccine passport holders. Domestic use of the passports, as demanded by Japanese business circles, also poses a number of issues such as how to prevent discrimination against those who are not inoculated.

""It's an essential tool that can lead to resuming people's movements across borders,"" said Chief Cabinet Secretary Katsunobu Kato at a press conference on July 26, underscoring the significance of introducing the vaccine passport system, as the acceptance of applications for the documents got underway across Japan the same day.

""Holders of the passports will be exempted from presenting documents proving their negative coronavirus test results upon entry, self-isolation and retesting after isolation, among other procedures,"" Kato said.

So far, Italy, Austria, Turkey, Bulgaria, Poland, South Korea and Estonia recognize the passports as one of the necessary documents for travelers to be exempted from quarantine steps. In South Korea, travelers also need to present other documents to be spared quarantine, while Estonia does not isolate arrivals.

The Japanese government began looking into introducing vaccine passports for its people in around mid-May. As other countries preceded in debating the system, the Japan Business Federation, the nation's most powerful business lobby commonly known as Keidanren, demanded that the government introduce the initiative. Some lawmakers in both the ruling and opposition parties, also expressed concerns for Japan lagging behind, with Seiji Maehara of the Democratic Party for the People saying, ""Japan would become like the Galapagos Islands (meaning 'become detached from the world') when vaccine passports become worldwide standards in this global society.""

However, as the United States has maintained reservations about vaccine passports, with each state taking a different approach to the documents, some within the Japanese government were initially skeptical about the efficacy of the system, with one official asking, ""Will it really become necessary internationally?""

Yet once the European Union and other areas decided to adopt vaccine passports, the Japanese business community stepped up their calls for introducing the initiative, with one individual stating, ""We'll get behind if we remain closed off to the world."" A senior official of the prime minister's office explained, ""We never know when vaccine passports will become a worldwide trend. We are introducing the system in preparation for that.""

The biggest challenge lying ahead is how many more countries will adopt vaccine passports. While there are many cases in which two countries mutually relax epidemic prevention measures for vaccine passport holders under mutual authentication agreements, Japan imposes significant restrictions on entrants as part of its COVID-19 countermeasures. Even if travelers are from the seven countries abroad that have adopted vaccine passports and have mutual agreement with Japan, arrivals still need to present their negative test certificates and undergo 14-day isolation at hotels and elsewhere. As it stands, Japan has to ask the seven countries to accept these strict entry conditions as they are, while requesting those countries to unilaterally relax their requirements.

It was apparently this hurdle that lay behind the failure for Japan to reach an agreement with France regarding mutual authentication, even though they had been regarded highly likely to reach an accord. Furthermore, if Japan is to strike a deal with China, Japan may be required to accept the efficacy of inoculation certificates for Chinese-made COVID-19 vaccines, which it has yet to authorize. ""As coronavirus infections continue to spread in Japan, public opinion will not accept border control relaxation through mutual authentication,"" commented a Japanese government insider.

How to utilize vaccine passports domestically is yet another issue requiring future investigation. While the Japanese business community is asking for the domestic use of vaccine passports, there are concerns that it could lead to discrimination against those who are not vaccinated if they are barred from entering shops, venues and other places. At a news conference on July 21, Chief Cabinet Secretary Kato expressed a cautious stance, stating, ""It's not appropriate if vaccine passports lead to forcible inoculations or unjust discrimination.""

Nevertheless, some within the government and the ruling Liberal Democratic Party are voicing their expectations for the domestic use of vaccine passports. ""It would brighten the public mood, instead of constraining them solely through requests to refrain from various activities,"" noted a former Cabinet minister, while a senior administration official remarked, ""If the vaccination rate stagnates in the future, the domestic use of vaccine passports could motivate people to get inoculated.""

Takahide Kiuchi, executive economist at the Nomura Research Institute, pointed out, ""No matter what the government might say, there will be a growing momentum in the private sector to capitalize on vaccine passports (toward the recovery of economic activities)."" In some areas in Japan, people holding full vaccination certificates issued by municipal governments are already benefiting from various services, such as discounts on dining and drinking and relaxed conditions for entry to event venues and other places. The central government is also poised to discern the results of these initiatives in weighing the pros and cons of promoting the domestic use of vaccine passports.","July 28, 2021",1,3
"Tokyo reports record 3,865 COVID-19 cases on July 29","TOKYO -- The Tokyo Metropolitan Government reported a record 3,865 coronavirus infections on July 29, exceeding the previous highest figure of 3,177 observed a day earlier and topping the 3,000 mark for the second day in a row.

Tokyo remains under a fourth COVID-19 state of emergency as it hosts the Olympic Games.

The capital saw an average of 631.7 coronavirus cases per day in the first week of July. The daily average for the second week rose to 823.3, before jumping to 1,277.6 in the third week. In the fourth week, it spiked by nearly 1,000, to 2,216.4. In June, Tokyo recorded a total of 12,979 new coronavirus cases, or a daily average of 432.6, down from the daily average of 705.8 in May.

By July 28, a total of 2,285 people had died of COVID-19 in Tokyo since the pandemic began in the spring of 2020.

Tokyo has recorded 210,610 infections to date, the most of any of Japan's 47 prefectures. As of July 28, there were 2,995 COVID-19 patients in hospital, 80 with severe symptoms.","July 29, 2021",0,1
Editorial: PM Suga's optimism questionable amid Tokyo's 5th wave of COVID-19 cases,"The fifth wave of coronavirus infections in Tokyo, which comes amid a state of emergency in the capital while the Olympic Games are in full swing, shows no sign of abating.

On July 28, the number of coronavirus cases in the capital topped 3,100, reaching a daily high for the second day in a row. The average for the week was about 1.5 times higher than that of the previous week.

What makes the situation serious is that while over two weeks have passed since the state of emergency was issued, the number of infections has not decreased -- unlike during previous states of emergency.

Serious COVID-19 cases have increased predominantly among those in their 50s, many of whom have not yet been vaccinated. But even among those with moderate symptoms, there are some people who need to be given high concentrations of oxygen, requiring the same kind of medical support as that given to people with severe symptoms of the respiratory disease.

Moreover, it is becoming increasingly difficult to quickly find hospitals to give people emergency medical care, and regular medical treatment will likely be restricted to secure beds for coronavirus patients. In the medical field, a sense of crisis over the hospital bed crunch is growing stronger.

In Saitama and other prefectures whose living spheres overlap with Tokyo, infection numbers are reaching record highs. The government should declare a state of emergency in those prefectures and take aligned measures.

Unless the number of infections is brought under control, the overall number of COVID-19 patients will continue to increase, and the medical system will eventually reach its breaking point. Yet we see no sense of urgency in the response taken by Prime Minister Yoshihide Suga.

Even though the number of infections has been rising, Suga has merely called for people to ""avoid going out unnecessarily, and to watch the Olympics on TV.""

Suga has also rejected the possibility of canceling the Olympics, stating that ""the flow of people is decreasing, and there are no concerns.""

But in fact, crowds have not decreased compared to during the previous state of emergency. And the spread of a strongly infectious variant of the coronavirus is a cause for concern.

The Tokyo Organising Committee of the Olympic and Paralympic Games has stated that if there is a major change in the state of coronavirus infections, then it will hold five-party talks with the Tokyo metropolitan and central governments and others to discuss a response. It is necessary to pay attention to changes in the situation, and adapt to the circumstances.

It has been pointed out the effects of the state of emergency are growing weaker. Members of the public are growing tired of self-restraint and are becoming accustomed to the pandemic, and the number of restaurants not complying with requests to shorten business hours is increasing.

The prime minister will not be able to win the public's cooperation with weakly grounded optimism. To avoid a worst-case scenario of a collapse of Japan's medical system, the prime minister should send out a clear message to ensure that people thoroughly follow coronavirus countermeasures and don't let their guard down.","July 29, 2021",0,1
Tokyo governor urges youth to get vaccinated to slow surge,"TOKYO (AP) -- Tokyo Gov. Yuriko Koike on Wednesday urged younger people to cooperate with measures to bring down the high number of infections and get vaccinated, saying their activities are key to slowing the surge during the Olympics.

On Tuesday, the Japanese capital reported 2,848 new cases, exceeding its previous record in January.

Koike noted that the majority of the elderly have been fully vaccinated and infections among them have largely decreased, while the mostly unvaccinated younger people are now dominating the new cases.

""Younger people's activity holds the key (to slowing the infections), and we need your cooperation,"" Koike said. ""Please make sure to avoid nonessential outings and observe basic anti-infection measures, and I would like younger people to get vaccinated.""

As of Tuesday, 25.5% of the Japanese population has been fully vaccinated. The percentage of the elderly who are fully vaccinated is 68.2%, or 36 million people.

Vaccination prospects for the younger have improved, and some can get their shots organized by work places and colleges, while others still wait based on seniority. But there are also concerns over hesitancy among the young, with surveys showing many of them having doubts, in part due to fake rumors about side effects.

Younger people have been blamed for roaming downtown areas after the requested closing hours for eateries and stores and spreading the virus. Tokyo is under its fourth state of emergency, which is to continue through the Olympics, but it mainly focuses on requiring establishments to stop serving alcohol and shorten their hours. Measures for the public are only requests and they are increasingly ignored.

Prime Minister Yoshihide Suga has also urged people to avoid nonessential outings but says there is no need to consider a suspension of the Games, which are held with no fans in Tokyo and three neighboring prefectures -- Chiba, Kanagawa and Saitama.

Governors of the three areas, alarmed by Tokyo's surging cases, said on Wednesday they plan to jointly ask Suga to place their prefectures under the state of emergency too.

Nationwide, Japan reported 5,020 cases in the last 24 hours for a total of 870,445 and 15,129 confirmed deaths.

Japan has kept its cases and deaths lower than many other countries. Its seven-day rolling average of cases is about 3.57 per 100,000 people, compared to 2.76 in India, 17.3 in the United States and 53.1 in Britain, according to data from Johns Hopkins University.","July 28, 2021",0,2
Golgo 13' manga panels deployed at Japan vaccine centers to encourage greater uptake,"TOKYO -- Duke Togo, protagonist of Takao Saito's long-running manga series ""Golgo 13"" and Japan's most famous fictional assassin, is being ""deployed"" by the government to vaccination centers as a way to encourage people to get vaccinated for COVID-19.

As part of the scheme, panels featuring manga story frames titled ""Assignment from K"" have been set up at large-scale vaccination centers operated by the Japan Self-Defense Forces in Tokyo and Osaka on July 26, with a hope that vaccinated individuals will photograph themselves next to the panels and spread the word on inoculation via social media.

In the panels, crack sniper Togo is seen sitting shirtless on a bed in a medical examination room. He asks the doctor present, ""I heard the Japanese government has a pressing assignment ... What is it?"" The doctor answers, ""They want you to spread vaccine uptake to beat the coronavirus,"" then produces a syringe. The dialogue has been created by adapting existing panels from the manga.

The new scheme came about thanks to connections between the manga's creators and the government forged in the 2018 production of a Ministry of Foreign Affairs video that used ""Golgo 13"" to advise Japanese nationals abroad on safety measures they should take. Vaccine tsar and current Minister in charge of Administrative Reform Taro Kono was minister of foreign affairs at the time.

The panel aims to urge young, middle-aged and older people to get inoculated while vaccinations among elderly people are progressing. It stresses the importance of the shots by highlighting the risks of death and long-term complications from severe COVID-19 symptoms.

On a July 26 visit to a Tokyo large-scale vaccination center, vaccination minister Kono said, ""We want people vaccinated here to take photos (with the cartoon panel) and by tweeting, spread vaccinations among individuals of the same generation.""

Though reporters asked details about the panel's title, ""Assignment from K,"" Kono only said, ""I'll be made to disappear if I speak carelessly.""

But despite their wishes to, many young, middle-aged and older people still can't get vaccinated. Perhaps Togo should be tasked with procuring vaccines?","July 27, 2021",1,3
Japan starts accepting applications for 'vaccine passports',"TOKYO (Kyodo) -- Japan began accepting applications Monday for so-called vaccine passports for people who have been fully inoculated against COVID-19 to travel internationally, as Japanese business lobbies have called for their introduction to help facilitate business activities.

So far, Italy, Austria, Turkey, Bulgaria and Poland have agreed to ease COVID-19 quarantine rules for holders of the Japanese certificates, while South Korea will also accept them as one of the documents needed in exempting holders from quarantine requirements, according to the Japanese government.

Estonia has also agreed to accept the certificate, although it currently does not impose quarantine regardless of whether the person has been vaccinated or not. The Japanese government is now in talks with other countries to expand the use of its vaccine passports.

""We consider it to be an important tool in resuming international travel going forward,"" said Chief Cabinet Secretary Katsunobu Kato at a regular news conference.

But the top government spokesman also urged people to refrain from applying for the certificate unless they have plans to travel abroad to prevent a flood of applications.

The certificates will be official records issued free of charge by local municipalities showing a person has been fully inoculated against COVID-19, with information such as name, passport number and date of vaccination also included.

People who wish to obtain the certificates will be required to submit in person or via mail documents, including the application form, passport and vaccination tickets.

The application form and the certificate are currently restricted to paper, but the Japanese government is seeking to eventually introduce digital application and issuance.

In the morning, businesspeople and foreign nationals were seen coming in for applications at a public health center in Tokyo's Minato Ward.

Among them, Junji Shirota, 34, scheduled to study at a British graduate school, received the certificate in less than 20 minutes.

""I heard I need to present this when I enter restaurants and bars in Britain, so now I can travel with relief,"" he said.

The country's largest business lobby, the Japan Business Federation, known as Keidanren, has proposed that the certificates be also used to raise event attendance caps and for restaurant discounts in Japan.

But such use is feared to increase the burden on local governments, which process the applications, leading to discrimination against people who have not been vaccinated.

Still, some restaurants and hotels within Japan are already giving discounts to people who present their vaccination records.

The Japanese government is stepping up its vaccination rollout, which has been slow compared with other developed countries. The program began in February with health care workers and expanded to those aged 65 or older from April, while people under 65 have recently started receiving shots in some municipalities and by companies for their employees.

But a recent supply shortfall is forcing some municipalities to restrict accepting reservations while new applications by companies have been suspended.

Suga has said he aims to finish inoculating all eligible people in Japan who wish to receive shots by November.","July 26, 2021",1,3
"Central Japan hotels, inns offering special perks to vaccinated guests","NAGOYA -- With Japan heading into summer vacation season while still cautious of spreading coronavirus infections, a number of central Japan hotels and inns are trying to lure more customers with special services for guests vaccinated against COVID-19.

Kaiei Ryokans, based in Minamichita, Aichi Prefecture, operates 19 accommodation facilities nationwide, primarily in the central Japan Chubu region. The firm is offering special new plans for guests who have received their second round of vaccinations.

The program, billed as the ""commemoration of completing vaccinations,"" grants special privileges including souvenirs worth 1,000 yen (about $9.00), a copy of a newspaper containing the guests' photo to commemorate the date of their stay, and free room or meal upgrades until the end of July.

So far, the plans have reportedly been popular with medical professionals and elderly couples aged 65 or older, who had priority doses, among other guests. As inoculations progress among younger generations, the company expects more people will be eligible for the incentive plans.

""We felt there must be many people relieved to have wrapped up their double shots, so we instilled the program with our regard for their efforts,"" a company public relations official said. ""I hope our guests will relax at our inns, where infection prevention measures are thoroughly in place.""

Meanwhile, Nagoya Prince Hotel Sky Tower in Nagoya's Nakamura Ward launched a new service on July 22 that allows vaccinated people and those who aren't to stay together at ease.

Under the plan, all members of a group including at least one vaccinated individual can have polymerase chain reaction tests in advance while paying only the room charge. Once the reservation is made, testing kits will be sent to potential guests' homes, and test results can be provided by the night before their planned stay.

The hotel expects the plan will see uptake from families and other groups who have long refrained from travel or returning to their hometowns during the repeated coronavirus infections resurgences.

""We'd be happy if fully vaccinated elderly customers can enjoy a secure stay here together with their grandchildren,"" said a public relations official.

Guests who test negative for the virus can have breakfast in a private room upon presenting their test results.","July 26, 2021",1,3
