Date,Infected_day
2020-02-06,16
2020-02-07,0
2020-02-10,0
2020-02-12,0
2020-02-13,1
2020-02-14,4
2020-02-17,25
2020-02-18,7
2020-02-19,7
2020-02-20,10
2020-02-21,9
2020-02-22,11
2020-02-23,24
2020-02-24,12
2020-02-25,14
2020-02-26,9
2020-02-27,22
2020-02-28,24
2020-02-29,20
2020-03-01,9
2020-03-02,15
2020-03-03,14
2020-03-04,16
2020-03-05,33
2020-03-06,31
2020-03-07,59
2020-03-08,47
2020-03-09,33
2020-03-10,26
2020-03-11,54
2020-03-12,52
2020-03-13,55
2020-03-14,40
2020-03-15,63
2020-03-16,32
2020-03-17,15
2020-03-18,44
2020-03-19,39
2020-03-20,36
2020-03-21,53
2020-03-22,34
2020-03-23,42
2020-03-24,38
2020-03-25,65
2020-03-26,93
2020-03-27,96
2020-03-28,104
2020-03-29,194
2020-03-30,173
2020-03-31,67
2020-04-01,220
2020-04-02,199
2020-04-03,235
2020-04-04,304
2020-04-05,346
2020-04-06,378
2020-04-07,248
