年,都道府県,検挙人数
2016,北海道,8460
2016,青森県,1621
2016,岩手県,1282
2016,宮城県,3209
2016,秋田県,1364
2016,山形県,1910
2016,福島県,2374
2016,東京都,31044
2016,茨城県,4873
2016,栃木県,2841
2016,群馬県,4063
2016,埼玉県,12739
2016,千葉県,10158
2016,神奈川県,16356
2016,新潟県,3731
2016,山梨県,1143
2016,長野県,2411
2016,静岡県,6812
2016,富山県,1584
2016,石川県,1687
2016,福井県,1153
2016,岐阜県,2845
2016,愛知県,14505
2016,三重県,2159
2016,滋賀県,2172
2016,京都府,4489
2016,大阪府,17484
2016,兵庫県,12145
2016,奈良県,2415
2016,和歌山県,1918
2016,鳥取県,942
2016,島根県,858
2016,岡山県,3782
2016,広島県,4989
2016,山口県,2159
2016,徳島県,1103
2016,香川県,1788
2016,愛媛県,2632
2016,高知県,1063
2016,福岡県,10880
2016,佐賀県,1531
2016,長崎県,1866
2016,熊本県,2944
2016,大分県,1548
2016,宮崎県,1642
2016,鹿児島県,2330
2016,沖縄県,3372
2015,北海道,8426
2015,青森県,1680
2015,岩手県,1430
2015,宮城県,3457
2015,秋田県,1423
2015,山形県,1918
2015,福島県,2641
2015,東京都,32627
2015,茨城県,5141
2015,栃木県,3102
2015,群馬県,4644
2015,埼玉県,13260
2015,千葉県,11164
2015,神奈川県,18185
2015,新潟県,4050
2015,山梨県,1245
2015,長野県,2785
2015,静岡県,6491
2015,富山県,1454
2015,石川県,1760
2015,福井県,1284
2015,岐阜県,2990
2015,愛知県,15393
2015,三重県,2278
2015,滋賀県,2286
2015,京都府,4767
2015,大阪府,18563
2015,兵庫県,12193
2015,奈良県,2308
2015,和歌山県,2218
2015,鳥取県,1030
2015,島根県,935
2015,岡山県,3780
2015,広島県,5631
2015,山口県,2359
2015,徳島県,1168
2015,香川県,2117
2015,愛媛県,2786
2015,高知県,1166
2015,福岡県,10992
2015,佐賀県,1639
2015,長崎県,2072
2015,熊本県,3340
2015,大分県,1628
2015,宮崎県,1828
2015,鹿児島県,2426
2015,沖縄県,3295
2014,北海道,8835
2014,青森県,1915
2014,岩手県,1508
2014,宮城県,3537
2014,秋田県,1436
2014,山形県,2037
2014,福島県,2841
2014,東京都,32651
2014,茨城県,5068
2014,栃木県,3594
2014,群馬県,4627
2014,埼玉県,15190
2014,千葉県,11448
2014,神奈川県,18841
2014,新潟県,4232
2014,山梨県,1357
2014,長野県,3198
2014,静岡県,6754
2014,富山県,1235
2014,石川県,1656
2014,福井県,1368
2014,岐阜県,3067
2014,愛知県,15227
2014,三重県,2447
2014,滋賀県,2452
2014,京都府,5495
2014,大阪府,19648
2014,兵庫県,13233
2014,奈良県,2644
2014,和歌山県,2367
2014,鳥取県,1042
2014,島根県,1079
2014,岡山県,4338
2014,広島県,5938
2014,山口県,2542
2014,徳島県,1263
2014,香川県,2211
2014,愛媛県,2988
2014,高知県,1252
2014,福岡県,11397
2014,佐賀県,1693
2014,長崎県,2359
2014,熊本県,3671
2014,大分県,1742
2014,宮崎県,1854
2014,鹿児島県,2430
2014,沖縄県,3408
2013,北海道,9409
2013,青森県,1986
2013,岩手県,1679
2013,宮城県,3527
2013,秋田県,1469
2013,山形県,2253
2013,福島県,2898
2013,東京都,34969
2013,茨城県,4809
2013,栃木県,3865
2013,群馬県,4249
2013,埼玉県,16510
2013,千葉県,11375
2013,神奈川県,18907
2013,新潟県,4316
2013,山梨県,1336
2013,長野県,3766
2013,静岡県,7192
2013,富山県,1460
2013,石川県,1585
2013,福井県,1369
2013,岐阜県,3128
2013,愛知県,14373
2013,三重県,2448
2013,滋賀県,2715
2013,京都府,5508
2013,大阪府,20626
2013,兵庫県,14125
2013,奈良県,2812
2013,和歌山県,2331
2013,鳥取県,1180
2013,島根県,1104
2013,岡山県,5013
2013,広島県,6326
2013,山口県,2911
2013,徳島県,1452
2013,香川県,2287
2013,愛媛県,3099
2013,高知県,1500
2013,福岡県,12423
2013,佐賀県,1772
2013,長崎県,2748
2013,熊本県,3443
2013,大分県,1778
2013,宮崎県,2012
2013,鹿児島県,2798
2013,沖縄県,3645
2012,北海道,9797
2012,青森県,2653
2012,岩手県,1939
2012,宮城県,4001
2012,秋田県,1689
2012,山形県,2448
2012,福島県,3295
2012,東京都,38848
2012,茨城県,5611
2012,栃木県,4687
2012,群馬県,4745
2012,埼玉県,18681
2012,千葉県,13446
2012,神奈川県,20038
2012,新潟県,4980
2012,山梨県,1599
2012,長野県,4061
2012,静岡県,8194
2012,富山県,1526
2012,石川県,1752
2012,福井県,1518
2012,岐阜県,3332
2012,愛知県,14700
2012,三重県,2898
2012,滋賀県,2519
2012,京都府,6759
2012,大阪府,21901
2012,兵庫県,14798
2012,奈良県,3027
2012,和歌山県,2421
2012,鳥取県,1293
2012,島根県,1201
