Year,Pref,#Arrested
2016,Hokkaido,8460
2016,Aomori,1621
2016,Iwate,1282
2016,Miyagi,3209
2016,Akita,1364
2016,Yamagata,1910
2016,Fukushima,2374
2016,Tokyo,31044
2016,Ibaraki,4873
2016,Tochigi,2841
2016,Gunma,4063
2016,Saitama,12739
2016,Chiba,10158
2016,Kanagawa,16356
2016,Niigata,3731
2016,Yamanashi,1143
2016,Nagano,2411
2016,Shizuoka,6812
2016,Toyama,1584
2016,Ishikawa,1687
2016,Fukui,1153
2016,Gifu,2845
2016,Aichi,14505
2016,Mie,2159
2016,Shiga,2172
2016,Kyoto,4489
2016,Osaka,17484
2016,Hyogo,12145
2016,Nara,2415
2016,Wakayama,1918
2016,Tottori,942
2016,Shimane,858
2016,Okayama,3782
2016,Hiroshima,4989
2016,Yamaguchi,2159
2016,Tokushima,1103
2016,Kagawa,1788
2016,Ehime,2632
2016,Kochi,1063
2016,Fukuoka,10880
2016,Saga,1531
2016,Nagasaki,1866
2016,Kumamoto,2944
2016,Oita,1548
2016,Miyazaki,1642
2016,Kagoshima,2330
2016,Okinawa,3372
2015,Hokkaido,8426
2015,Aomori,1680
2015,Iwate,1430
2015,Miyagi,3457
2015,Akita,1423
2015,Yamagata,1918
2015,Fukushima,2641
2015,Tokyo,32627
2015,Ibaraki,5141
2015,Tochigi,3102
2015,Gunma,4644
2015,Saitama,13260
2015,Chiba,11164
2015,Kanagawa,18185
2015,Niigata,4050
2015,Yamanashi,1245
2015,Nagano,2785
2015,Shizuoka,6491
2015,Toyama,1454
2015,Ishikawa,1760
2015,Fukui,1284
2015,Gifu,2990
2015,Aichi,15393
2015,Mie,2278
2015,Shiga,2286
2015,Kyoto,4767
2015,Osaka,18563
2015,Hyogo,12193
2015,Nara,2308
2015,Wakayama,2218
2015,Tottori,1030
2015,Shimane,935
2015,Okayama,3780
2015,Hiroshima,5631
2015,Yamaguchi,2359
2015,Tokushima,1168
2015,Kagawa,2117
2015,Ehime,2786
2015,Kochi,1166
2015,Fukuoka,10992
2015,Saga,1639
2015,Nagasaki,2072
2015,Kumamoto,3340
2015,Oita,1628
2015,Miyazaki,1828
2015,Kagoshima,2426
2015,Okinawa,3295
2014,Hokkaido,8835
2014,Aomori,1915
2014,Iwate,1508
2014,Miyagi,3537
2014,Akita,1436
2014,Yamagata,2037
2014,Fukushima,2841
2014,Tokyo,32651
2014,Ibaraki,5068
2014,Tochigi,3594
2014,Gunma,4627
2014,Saitama,15190
2014,Chiba,11448
2014,Kanagawa,18841
2014,Niigata,4232
2014,Yamanashi,1357
2014,Nagano,3198
2014,Shizuoka,6754
2014,Toyama,1235
2014,Ishikawa,1656
2014,Fukui,1368
2014,Gifu,3067
2014,Aichi,15227
2014,Mie,2447
2014,Shiga,2452
2014,Kyoto,5495
2014,Osaka,19648
2014,Hyogo,13233
2014,Nara,2644
2014,Wakayama,2367
2014,Tottori,1042
2014,Shimane,1079
2014,Okayama,4338
2014,Hiroshima,5938
2014,Yamaguchi,2542
2014,Tokushima,1263
2014,Kagawa,2211
2014,Ehime,2988
2014,Kochi,1252
2014,Fukuoka,11397
2014,Saga,1693
2014,Nagasaki,2359
2014,Kumamoto,3671
2014,Oita,1742
2014,Miyazaki,1854
2014,Kagoshima,2430
2014,Okinawa,3408
2013,Hokkaido,9409
2013,Aomori,1986
2013,Iwate,1679
2013,Miyagi,3527
2013,Akita,1469
2013,Yamagata,2253
2013,Fukushima,2898
2013,Tokyo,34969
2013,Ibaraki,4809
2013,Tochigi,3865
2013,Gunma,4249
2013,Saitama,16510
2013,Chiba,11375
2013,Kanagawa,18907
2013,Niigata,4316
2013,Yamanashi,1336
2013,Nagano,3766
2013,Shizuoka,7192
2013,Toyama,1460
2013,Ishikawa,1585
2013,Fukui,1369
2013,Gifu,3128
2013,Aichi,14373
2013,Mie,2448
2013,Shiga,2715
2013,Kyoto,5508
2013,Osaka,20626
2013,Hyogo,14125
2013,Nara,2812
2013,Wakayama,2331
2013,Tottori,1180
2013,Shimane,1104
2013,Okayama,5013
2013,Hiroshima,6326
2013,Yamaguchi,2911
2013,Tokushima,1452
2013,Kagawa,2287
2013,Ehime,3099
2013,Kochi,1500
2013,Fukuoka,12423
2013,Saga,1772
2013,Nagasaki,2748
2013,Kumamoto,3443
2013,Oita,1778
2013,Miyazaki,2012
2013,Kagoshima,2798
2013,Okinawa,3645
2012,Hokkaido,9797
2012,Aomori,2653
2012,Iwate,1939
2012,Miyagi,4001
2012,Akita,1689
2012,Yamagata,2448
2012,Fukushima,3295
2012,Tokyo,38848
2012,Ibaraki,5611
2012,Tochigi,4687
2012,Gunma,4745
2012,Saitama,18681
2012,Chiba,13446
2012,Kanagawa,20038
2012,Niigata,4980
2012,Yamanashi,1599
2012,Nagano,4061
2012,Shizuoka,8194
2012,Toyama,1526
2012,Ishikawa,1752
2012,Fukui,1518
2012,Gifu,3332
2012,Aichi,14700
2012,Mie,2898
2012,Shiga,2519
2012,Kyoto,6759
2012,Osaka,21901
2012,Hyogo,14798
2012,Nara,3027
2012,Wakayama,2421
2012,Tottori,1293
2012,Shimane,1201
2012,Okayama,5010
2012,Hiroshima,6702
2012,Yamaguchi,3193
2012,Tokushima,1501
2012,Kagawa,2558
2012,Ehime,3281
2012,Kochi,1768
2012,Fukuoka,13297
2012,Saga,1924
2012,Nagasaki,3152
2012,Kumamoto,3957
2012,Oita,1876
2012,Miyazaki,2128
2012,Kagoshima,3045
2012,Okinawa,3272
2011,Hokkaido,10518
2011,Aomori,2760
2011,Iwate,1807
2011,Miyagi,3899
2011,Akita,1735
2011,Yamagata,2386
2011,Fukushima,3383
2011,Tokyo,40065
2011,Ibaraki,6032
2011,Tochigi,4846
2011,Gunma,5331
2011,Saitama,19672
2011,Chiba,14028
2011,Kanagawa,23488
2011,Niigata,5315
2011,Yamanashi,1569
2011,Nagano,4494
2011,Shizuoka,8656
2011,Toyama,1694
2011,Ishikawa,2054
2011,Fukui,1491
2011,Gifu,3598
2011,Aichi,16520
2011,Mie,3066
2011,Shiga,2584
2011,Kyoto,7842
2011,Osaka,22868
2011,Hyogo,15360
2011,Nara,3119
2011,Wakayama,2638
2011,Tottori,1270
2011,Shimane,1258
2011,Okayama,4930
2011,Hiroshima,7201
2011,Yamaguchi,3315
2011,Tokushima,1657
2011,Kagawa,2539
2011,Ehime,3803
2011,Kochi,1856
2011,Fukuoka,14408
2011,Saga,2018
2011,Nagasaki,3251
2011,Kumamoto,4385
2011,Oita,1833
2011,Miyazaki,2278
2011,Kagoshima,2937
2011,Okinawa,3874
2010,Hokkaido,10563
2010,Aomori,2998
2010,Iwate,1997
2010,Miyagi,4549
2010,Akita,1964
2010,Yamagata,2645
2010,Fukushima,4193
2010,Tokyo,44548
2010,Ibaraki,6643
2010,Tochigi,5410
2010,Gunma,5717
2010,Saitama,19296
2010,Chiba,14988
2010,Kanagawa,23304
2010,Niigata,5337
2010,Yamanashi,1721
2010,Nagano,4537
2010,Shizuoka,8406
2010,Toyama,1762
2010,Ishikawa,2051
2010,Fukui,1450
2010,Gifu,3776
2010,Aichi,18100
2010,Mie,3320
