Pref,Move_in,Move_out
Hokkaido,48544,55418
Aomori,17061,23384
Iwate,17113,20983
Miyagi,47124,47607
Akita,11353,15751
Yamagata,12921,16560
Fukushima,25505,31344
Ibaraki,45166,48875
Tochigi,29760,32748
Gunma,26344,29080
Saitama,159389,143829
Chiba,143081,127006
Tokyo,413444,339267
Kanagawa,205368,193312
Niigata,21316,27505
Toyama,12206,13210
Ishikawa,17519,18330
Fukui,8557,10377
Yamanashi,12366,14377
Nagano,25765,28445
Gifu,25459,30490
Shizuoka,49211,55601
Aichi,111160,104895
Mie,25728,29325
Shiga,24656,25362
Kyoto,53759,54509
Osaka,152537,150743
Hyogo,85933,92693
Nara,23004,26623
Wakayama,10681,14575
Tottori,8672,9982
Shimane,10248,11500
Okayama,28054,30027
Hiroshima,45966,48102
Yamaguchi,21394,25195
Tokushima,9107,10855
Kagawa,16937,18038
Ehime,17080,20727
Kochi,8919,11184
Fukuoka,98344,92612
Saga,14831,17131
Nagasaki,22105,27678
Kumamoto,26003,32794
Oita,17852,20460
Miyazaki,17404,21692
Kagoshima,25811,30284
Okinawa,24574,24846
