Temperature of Tokyo,,,
Date,Average(deg C),High(deg C),Low(deg C)
2015/1/1,3.7,8.2,0.7
2015/1/2,2.7,7.9,-2.2
2015/1/3,3.8,8.9,-1.1
2015/1/4,4,9.3,-0.4
2015/1/5,6.9,12.9,1.3
2015/1/6,10.8,16,5.8
2015/1/7,5.6,10.2,3
2015/1/8,6.2,11.2,2
2015/1/9,6.7,11,3.5
2015/1/10,6.3,11.2,1.9
2015/1/11,6.4,10.8,0.2
2015/1/12,5.2,9,2
2015/1/13,6.6,11.8,2.5
2015/1/14,6.6,11.5,1.2
2015/1/15,5.4,8.2,3.4
2015/1/16,8.9,13.2,4.9
2015/1/17,5.9,11.6,1.3
2015/1/18,4.7,10.9,-0.5
2015/1/19,5.7,11.7,-0.7
2015/1/20,6.3,11.2,2.7
2015/1/21,2.5,3.8,1.5
2015/1/22,4.6,5.6,3.2
2015/1/23,6.9,12.8,3.7
2015/1/24,4.9,8.1,2.9
2015/1/25,7,12.2,0.9
2015/1/26,9,12.9,5.6
2015/1/27,9.8,16.4,5.8
2015/1/28,5.2,9.7,1.4
2015/1/29,3.9,8.2,-0.9
2015/1/30,2.2,4.7,0.4
2015/1/31,4.9,10.5,0.8
2015/2/1,4,8.6,0.7
2015/2/2,4.7,9.6,1
2015/2/3,4.7,10.3,0.4
2015/2/4,5.2,9.6,1.1
2015/2/5,2.6,5.1,1.1
2015/2/6,5.4,12,-0.3
2015/2/7,5.3,9.6,1.2
2015/2/8,4,6.8,2
2015/2/9,2,4.9,-0.6
2015/2/10,3.2,8.1,-2.4
2015/2/11,5.6,10.9,0.2
2015/2/12,7,13,1.2
2015/2/13,5,12.3,1.1
2015/2/14,4.9,10.6,-1.4
2015/2/15,5.5,11.7,0.3
2015/2/16,7,13.2,1.5
2015/2/17,3.9,5.4,1.3
2015/2/18,3.3,4.3,2.5
2015/2/19,6.2,13,0.9
2015/2/20,6.3,11.9,2.5
2015/2/21,6.2,10.5,2
