Country Name,Country Code,2019(M)
Aruba,ABW,0.106314
Afghanistan,AFG,38.041754
Angola,AGO,31.825295
Albania,ALB,2.854191
Andorra,AND,0.077142
Arab World,ARB,427.87027
United Arab Emirates,ARE,9.770529
Argentina,ARG,44.938712
Armenia,ARM,2.957731
American Samoa,ASM,0.055312
Antigua and Barbuda,ATG,0.097118
Australia,AUS,25.364307
Austria,AUT,8.877067
Azerbaijan,AZE,10.023318
Burundi,BDI,11.53058
Belgium,BEL,11.484055
Benin,BEN,11.801151
Burkina Faso,BFA,20.321378
Bangladesh,BGD,163.046161
Bulgaria,BGR,6.975761
Bahrain,BHR,1.641172
"Bahamas, The",BHS,0.389482
Bosnia and Herzegovina,BIH,3.301
Belarus,BLR,9.466856
Belize,BLZ,0.390353
Bermuda,BMU,0.063918
Bolivia,BOL,11.5131
Brazil,BRA,211.049527
Barbados,BRB,0.287025
Brunei Darussalam,BRN,0.433285
Bhutan,BTN,0.763092
Botswana,BWA,2.303697
Central African Republic,CAF,4.745185
Canada,CAN,37.589262
Central Europe and the Baltics,CEB,102.378579
Switzerland,CHE,8.574832
Channel Islands,CHI,0.172259
Chile,CHL,18.952038
China,CHN,1397.715
Cote d'Ivoire,CIV,25.716544
Cameroon,CMR,25.87638
"Congo, Dem. Rep.",COD,86.790567
"Congo, Rep.",COG,5.380508
Colombia,COL,50.339443
Comoros,COM,0.850886
Cabo Verde,CPV,0.549935
Costa Rica,CRI,5.047561
Caribbean small states,CSS,7.401383
Cuba,CUB,11.333483
Curacao,CUW,0.157538
Cayman Islands,CYM,0.064948
Cyprus,CYP,1.198575
Czech Republic,CZE,10.669709
Germany,DEU,83.132799
Djibouti,DJI,0.97356
Dominica,DMA,0.071808
Denmark,DNK,5.818553
Dominican Republic,DOM,10.738958
Algeria,DZA,43.053054
Europe & Central Asia (excluding high income),ECA,399.404587
Europe & Central Asia,ECS,921.140092
Ecuador,ECU,17.373662
"Egypt, Arab Rep.",EGY,100.388073
Euro area,EMU,342.597698
Spain,ESP,47.076781
Estonia,EST,1.32659
Ethiopia,ETH,112.07873
European Union,EUU,447.512041
Fragile and conflict affected situations,FCS,798.138587
Finland,FIN,5.520314
Fiji,FJI,0.889953
France,FRA,67.059887
Faroe Islands,FRO,0.048678
"Micronesia, Fed. Sts.",FSM,0.113815
Gabon,GAB,2.172579
United Kingdom,GBR,66.834405
Georgia,GEO,3.720382
Ghana,GHA,30.417856
Gibraltar,GIB,0.033701
Guinea,GIN,12.771246
"Gambia, The",GMB,2.347706
Guinea-Bissau,GNB,1.920922
Equatorial Guinea,GNQ,1.355986
Greece,GRC,10.716322
Grenada,GRD,0.112003
Greenland,GRL,0.056225
Guatemala,GTM,16.604026
Guam,GUM,0.167294
Guyana,GUY,0.782766
High income,HIC,1235.852838
"Hong Kong SAR, China",HKG,7.5074
Honduras,HND,9.746117
Heavily indebted poor countries (HIPC),HPC,801.708035
Croatia,HRV,4.0675
Haiti,HTI,11.263077
Hungary,HUN,9.769949
IDA blend,IDB,561.572202
Indonesia,IDN,270.625568
IDA only,IDX,1109.126698
Isle of Man,IMN,0.084584
India,IND,1366.417754
Ireland,IRL,4.941444
"Iran, Islamic Rep.",IRN,82.913906
Iraq,IRQ,39.309783
Iceland,ISL,0.361313
Israel,ISR,9.0533
Italy,ITA,60.297396
Jamaica,JAM,2.948279
Jordan,JOR,10.101694
Japan,JPN,126.264931
Kazakhstan,KAZ,18.51393
Kenya,KEN,52.573973
Kyrgyz Republic,KGZ,6.4569
Cambodia,KHM,16.486542
Kiribati,KIR,0.117606
St. Kitts and Nevis,KNA,0.052834
"Korea, Rep.",KOR,51.709098
Kuwait,KWT,4.207083
Latin America & Caribbean (excluding high income),LAC,613.773119
Lao PDR,LAO,7.169455
Lebanon,LBN,6.855713
Liberia,LBR,4.937374
Libya,LBY,6.777452
St. Lucia,LCA,0.18279
Latin America & Caribbean,LCN,646.430843
Least developed countries: UN classification,LDC,1033.388876
Low income,LIC,668.454965
Liechtenstein,LIE,0.038019
Sri Lanka,LKA,21.803
Lesotho,LSO,2.125268
Lithuania,LTU,2.786844
Luxembourg,LUX,0.619896
Latvia,LVA,1.912789
"Macao SAR, China",MAC,0.640445
St. Martin (French part),MAF,0.038002
Morocco,MAR,36.471769
Monaco,MCO,0.038964
Moldova,MDA,2.657637
Madagascar,MDG,26.969307
Maldives,MDV,0.530953
Middle East & North Africa,MEA,456.707404
Mexico,MEX,127.575529
Marshall Islands,MHL,0.058791
North Macedonia,MKD,2.083459
Mali,MLI,19.658031
Malta,MLT,0.502653
Myanmar,MMR,54.04542
Middle East & North Africa (excluding high income),MNA,389.457086
Montenegro,MNE,0.622137
Mongolia,MNG,3.225167
Northern Mariana Islands,MNP,0.057216
Mozambique,MOZ,30.366036
Mauritania,MRT,4.525696
Mauritius,MUS,1.265711
Malawi,MWI,18.628747
Malaysia,MYS,31.949777
North America,NAC,365.892703
Namibia,NAM,2.49453
New Caledonia,NCL,0.2878
Niger,NER,23.310715
Nigeria,NGA,200.963599
Nicaragua,NIC,6.545502
Netherlands,NLD,17.33285
Norway,NOR,5.347896
Nepal,NPL,28.60871
Nauru,NRU,0.012581
New Zealand,NZL,4.917
OECD members,OED,1359.9635
Oman,OMN,4.974986
Other small states,OSS,31.360407
Pakistan,PAK,216.565318
Panama,PAN,4.246439
Peru,PER,32.510453
Philippines,PHL,108.116615
Palau,PLW,0.018008
Papua New Guinea,PNG,8.776109
Poland,POL,37.970874
Pre-demographic dividend,PRE,944.902749
Puerto Rico,PRI,3.193694
"Korea, Dem. People’s Rep.",PRK,25.666161
Portugal,PRT,10.269417
Paraguay,PRY,7.044636
West Bank and Gaza,PSE,4.685306
Pacific island small states,PSS,2.493696
Post-demographic dividend,PST,1112.914457
French Polynesia,PYF,0.279287
Qatar,QAT,2.832067
Romania,ROU,19.356544
Russian Federation,RUS,144.373535
Rwanda,RWA,12.62695
Saudi Arabia,SAU,34.268528
Sudan,SDN,42.813238
Senegal,SEN,16.296364
Singapore,SGP,5.703569
Solomon Islands,SLB,0.669823
Sierra Leone,SLE,7.813215
El Salvador,SLV,6.453553
San Marino,SMR,0.03386
Somalia,SOM,15.442905
Serbia,SRB,6.944975
Sub-Saharan Africa (excluding high income),SSA,1105.594562
South Sudan,SSD,11.062113
Sub-Saharan Africa,SSF,1106.957898
Small states,SST,41.255486
Sao Tome and Principe,STP,0.215056
Suriname,SUR,0.581363
Slovak Republic,SVK,5.454073
Slovenia,SVN,2.087946
Sweden,SWE,10.285453
Eswatini,SWZ,1.14813
Sint Maarten (Dutch part),SXM,0.040733
Seychelles,SYC,0.097625
Syrian Arab Republic,SYR,17.070135
Turks and Caicos Islands,TCA,0.038191
Chad,TCD,15.946876
Europe & Central Asia (IDA & IBRD countries),TEC,460.799505
Togo,TGO,8.082366
Thailand,THA,69.625582
Tajikistan,TJK,9.321018
Turkmenistan,TKM,5.942089
Latin America & the Caribbean (IDA & IBRD countries),TLA,630.644772
Timor-Leste,TLS,1.293119
Middle East & North Africa (IDA & IBRD countries),TMN,384.77178
Tonga,TON,0.104494
Sub-Saharan Africa (IDA & IBRD countries),TSS,1106.957898
Trinidad and Tobago,TTO,1.394973
Tunisia,TUN,11.694719
Turkey,TUR,83.429615
Tuvalu,TUV,0.011646
Tanzania,TZA,58.005463
Uganda,UGA,44.269594
Ukraine,UKR,44.385155
Uruguay,URY,3.461734
United States,USA,328.239523
Uzbekistan,UZB,33.58065
St. Vincent and the Grenadines,VCT,0.110589
"Venezuela, RB",VEN,28.515829
British Virgin Islands,VGB,0.03003
Virgin Islands (U.S.),VIR,0.106631
Vietnam,VNM,96.462106
Vanuatu,VUT,0.299882
Samoa,WSM,0.197097
Kosovo,XKX,1.794248
"Yemen, Rep.",YEM,29.161922
South Africa,ZAF,58.55827
Zambia,ZMB,17.86103
Zimbabwe,ZWE,14.645468
