source_twitter,target_twitter
0120iesagashi,109btt
0120iesagashi,16toyosu
0120iesagashi,1manken
0120iesagashi,2020wngn
0120iesagashi,2022Btt
0120iesagashi,2022_btt
0120iesagashi,2ldk18
0120iesagashi,30BTT1
0120iesagashi,77777AAAAAA77
0120iesagashi,7SptBBO9BiTIBd2
0120iesagashi,7ol0mLNlAA642jt
0120iesagashi,8787_38
0120iesagashi,8r8GjMpHhcfZFus
0120iesagashi,A0n3n0A
0120iesagashi,AjIqABnqyoIUZu6
0120iesagashi,AoyamaOoya
0120iesagashi,AriakeWm
0120iesagashi,Ariake_Tokyo
0120iesagashi,BTT18005432
0120iesagashi,BTT202203
0120iesagashi,BTT31549159
0120iesagashi,BTT49935649
0120iesagashi,BTT51717599
0120iesagashi,BTT74115133
0120iesagashi,BTTTTTTTTTTTB
0120iesagashi,BTT_2
0120iesagashi,Barbie_Babiro
0120iesagashi,Boss22887466
0120iesagashi,ClarteDouce
0120iesagashi,DIVpEL9Pa8KaHgr
0120iesagashi,Dq8ZLO0UCfH3coz
0120iesagashi,EyO8fs
0120iesagashi,Fn0ZyAQ03en3YDw
0120iesagashi,HK27129551
0120iesagashi,HarumiSensay
0120iesagashi,Harumi_ST_Life
0120iesagashi,Harumist_75
0120iesagashi,Hiroshi99857672
0120iesagashi,Homelnterior
0120iesagashi,Jasmine50170941
0120iesagashi,Junya__Jr
0120iesagashi,KawasakiKatasu3
0120iesagashi,Komatsuna_56789
0120iesagashi,KunitentenArc
0120iesagashi,LandHarumi
0120iesagashi,MAKUHARI_BASE
0120iesagashi,MIKE_JYERO
0120iesagashi,Manofpatience21
0120iesagashi,MansionCG
0120iesagashi,Masaking_sauna
0120iesagashi,MasamichiSugama
0120iesagashi,MikieUsachan
0120iesagashi,MitsugiYurika
0120iesagashi,Mr_Tarinn
0120iesagashi,Nontan_harumi
0120iesagashi,OL_RINA_HYBRID
0120iesagashi,OMYqICrt0SQZ7st
0120iesagashi,OlKyururun
0120iesagashi,PCtknw127
0120iesagashi,PTshinagawa
0120iesagashi,PTtachikawa
0120iesagashi,Poepoe64938368
0120iesagashi,PzW34
0120iesagashi,Qp0Hqmaru
0120iesagashi,RAxdm79xcWW7tKe
0120iesagashi,RE73167237
0120iesagashi,REI_0279
0120iesagashi,REN20210501
0120iesagashi,RLD56QYgZUM3RNl
0120iesagashi,RRrreesstar
0120iesagashi,RTFP777
0120iesagashi,ReachStock
0120iesagashi,Reina0919a
0120iesagashi,Rraf5Tp0bI3MZLY
0120iesagashi,RurannaH
0120iesagashi,Ryo_ChanBoo
0120iesagashi,SKYZandBAYZ
0120iesagashi,Sallymyk
0120iesagashi,SkyscraperVideo
0120iesagashi,SukunaBikona7
0120iesagashi,TKO_Mansion
0120iesagashi,TT48307034
0120iesagashi,Titleist_j
0120iesagashi,Tokyo_Bay_Man
0120iesagashi,Tokyo_of_Tokyo
0120iesagashi,Tokyomc6
0120iesagashi,Tower_Ryman
0120iesagashi,Tower_on_Monday
0120iesagashi,Toweraaaa
0120iesagashi,ToyosuReal
0120iesagashi,Toyosukei
0120iesagashi,ViewTokyo
0120iesagashi,WANGAN202020
0120iesagashi,WSumau
0120iesagashi,Wangan_O
0120iesagashi,XItyT1rGuzo64vm
0120iesagashi,Yin8bFs
