,Infected,score,infected_scaled,score_scaled
2020-08-31,430.0,0.0,0.008345682864051164,0.005
2020-08-31,430.0,-3.0,0.008345682864051164,0.00125
2020-08-31,430.0,-3.0,0.008345682864051164,0.00125
2020-08-31,430.0,2.0,0.008345682864051164,0.0075
2020-09-01,624.0,-2.0,0.015911395366976055,0.0025
2020-09-01,624.0,0.0,0.015911395366976055,0.005
2020-09-02,585.0,-2.0,0.014390453162779815,0.0025
2020-09-02,585.0,0.0,0.014390453162779815,0.005
2020-09-02,585.0,-2.0,0.014390453162779815,0.0025
2020-09-02,585.0,3.0,0.014390453162779815,0.00875
2020-09-02,585.0,-2.0,0.014390453162779815,0.0025
2020-09-03,654.0,-3.0,0.01708135090866547,0.00125
2020-09-03,654.0,-2.0,0.01708135090866547,0.0025
2020-09-03,654.0,0.0,0.01708135090866547,0.005
2020-09-04,582.0,-4.0,0.014273457608610873,0.0
2020-09-04,582.0,-1.0,0.014273457608610873,0.00375
2020-09-04,582.0,-2.0,0.014273457608610873,0.0025
2020-09-05,598.0,-4.0,0.014897433897511893,0.0
2020-09-05,598.0,-2.0,0.014897433897511893,0.0025
2020-09-05,598.0,4.0,0.014897433897511893,0.01
2020-09-05,598.0,-3.0,0.014897433897511893,0.00125
2020-09-06,447.0,-3.0,0.009008657671008502,0.00125
2020-09-07,285.0,0.0,0.0026908977458856564,0.005
2020-09-07,285.0,-3.0,0.0026908977458856564,0.00125
2020-09-07,285.0,-2.0,0.0026908977458856564,0.0025
2020-09-08,510.0,-3.0,0.011465564308556275,0.00125
2020-09-08,510.0,-1.0,0.011465564308556275,0.00375
2020-09-09,507.0,-1.0,0.011348568754387334,0.00375
2020-09-09,507.0,-2.0,0.011348568754387334,0.0025
2020-09-09,507.0,-1.0,0.011348568754387334,0.00375
2020-09-10,709.0,-2.0,0.01922626940176273,0.0025
2020-09-10,709.0,0.0,0.01922626940176273,0.005
2020-09-11,637.0,-1.0,0.016418376101708133,0.00375
2020-09-11,637.0,-1.0,0.016418376101708133,0.00375
2020-09-11,637.0,-1.0,0.016418376101708133,0.00375
2020-09-12,639.0,-3.0,0.016496373137820763,0.00125
2020-09-12,639.0,0.0,0.016496373137820763,0.005
2020-09-13,438.0,-3.0,0.008657671008501677,0.00125
2020-09-13,438.0,-1.0,0.008657671008501677,0.00375
2020-09-14,262.0,-1.0,0.001793931830590437,0.00375
2020-09-14,262.0,4.0,0.001793931830590437,0.01
2020-09-14,262.0,4.0,0.001793931830590437,0.01
2020-09-14,262.0,-4.0,0.001793931830590437,0.0
2020-09-14,262.0,-3.0,0.001793931830590437,0.00125
2020-09-14,262.0,4.0,0.001793931830590437,0.01
2020-09-15,530.0,-1.0,0.012245534669682551,0.00375
2020-09-15,530.0,-1.0,0.012245534669682551,0.00375
2020-09-16,543.0,-4.0,0.012752515404414633,0.0
2020-09-16,543.0,-2.0,0.012752515404414633,0.0025
2020-09-17,478.0,0.0,0.01021761173075423,0.005
2020-09-17,478.0,-4.0,0.01021761173075423,0.0
2020-09-18,569.0,-3.0,0.013766476873878792,0.00125
2020-09-18,569.0,-4.0,0.013766476873878792,0.0
2020-09-19,592.0,-1.0,0.01466344278917401,0.00375
2020-09-19,592.0,-1.0,0.01466344278917401,0.00375
2020-09-19,592.0,4.0,0.01466344278917401,0.01
2020-09-20,469.0,-3.0,0.009866625068247405,0.00125
2020-09-20,469.0,-3.0,0.009866625068247405,0.00125
2020-09-21,306.0,-4.0,0.0035098666250682475,0.0
2020-09-21,306.0,-4.0,0.0035098666250682475,0.0
2020-09-22,321.0,0.0,0.0040948443959129555,0.005
2020-09-22,321.0,-3.0,0.0040948443959129555,0.00125
2020-09-23,216.0,-4.0,0.0,0.0
