Date,Infected,binary_score (1:good   0: bad)
2020-08-31,430.0,0.0
2020-08-31,430.0,0.0
2020-08-31,430.0,0.0
2020-08-31,430.0,1.0
2020-09-01,624.0,0.0
2020-09-01,624.0,0.0
2020-09-02,585.0,0.0
2020-09-02,585.0,0.0
2020-09-02,585.0,0.0
2020-09-02,585.0,1.0
2020-09-02,585.0,0.0
2020-09-03,654.0,0.0
2020-09-03,654.0,0.0
2020-09-03,654.0,0.0
2020-09-04,582.0,0.0
2020-09-04,582.0,0.0
2020-09-04,582.0,0.0
2020-09-05,598.0,0.0
2020-09-05,598.0,0.0
2020-09-05,598.0,1.0
2020-09-05,598.0,0.0
2020-09-06,447.0,0.0
2020-09-07,285.0,0.0
2020-09-07,285.0,0.0
2020-09-07,285.0,0.0
2020-09-08,510.0,0.0
2020-09-08,510.0,0.0
2020-09-09,507.0,0.0
2020-09-09,507.0,0.0
2020-09-09,507.0,0.0
2020-09-10,709.0,0.0
2020-09-10,709.0,0.0
2020-09-11,637.0,0.0
2020-09-11,637.0,0.0
2020-09-11,637.0,0.0
2020-09-12,639.0,0.0
2020-09-12,639.0,0.0
2020-09-13,438.0,0.0
2020-09-13,438.0,0.0
2020-09-14,262.0,0.0
2020-09-14,262.0,1.0
2020-09-14,262.0,1.0
2020-09-14,262.0,0.0
2020-09-14,262.0,0.0
2020-09-14,262.0,1.0
2020-09-15,530.0,0.0
2020-09-15,530.0,0.0
2020-09-16,543.0,0.0
2020-09-16,543.0,0.0
2020-09-17,478.0,0.0
2020-09-17,478.0,0.0
2020-09-18,569.0,0.0
2020-09-18,569.0,0.0
2020-09-19,592.0,0.0
2020-09-19,592.0,0.0
2020-09-19,592.0,1.0
2020-09-20,469.0,0.0
2020-09-20,469.0,0.0
2020-09-21,306.0,0.0
2020-09-21,306.0,0.0
2020-09-22,321.0,0.0
2020-09-22,321.0,0.0
2020-09-23,216.0,0.0
2020-09-23,216.0,0.0
2020-09-23,216.0,0.0
2020-09-23,216.0,0.0
2020-09-23,216.0,0.0
2020-09-24,475.0,0.0
2020-09-24,475.0,0.0
2020-09-25,567.0,0.0
2020-09-25,567.0,0.0
2020-09-25,567.0,0.0
2020-09-25,567.0,0.0
2020-09-26,634.0,0.0
2020-09-26,634.0,0.0
2020-09-27,478.0,0.0
2020-09-27,478.0,0.0
2020-09-28,294.0,1.0
2020-09-28,294.0,0.0
2020-09-29,527.0,0.0
2020-09-29,527.0,0.0
2020-09-29,527.0,0.0
2020-09-29,527.0,0.0
2020-09-29,527.0,0.0
2020-09-30,569.0,1.0
2020-09-30,569.0,0.0
2020-09-30,569.0,0.0
2020-10-01,619.0,0.0
2020-10-01,619.0,0.0
2020-10-02,537.0,0.0
2020-10-02,537.0,
2020-10-02,537.0,0.0
2020-10-03,562.0,0.0
2020-10-04,394.0,0.0
2020-10-04,394.0,0.0
2020-10-04,394.0,0.0
2020-10-05,269.0,1.0
2020-10-05,269.0,0.0
2020-10-05,269.0,1.0
2020-10-06,495.0,0.0
2020-10-06,495.0,0.0
2020-10-06,495.0,0.0
2020-10-07,502.0,1.0
2020-10-07,502.0,0.0
2020-10-07,502.0,1.0
2020-10-08,623.0,0.0
2020-10-08,623.0,0.0
2020-10-09,594.0,0.0
2020-10-09,594.0,0.0
2020-10-10,666.0,0.0
2020-10-10,666.0,0.0
2020-10-11,431.0,0.0
2020-10-11,431.0,0.0
2020-10-12,272.0,0.0
2020-10-12,272.0,0.0
2020-10-13,491.0,0.0
2020-10-13,491.0,0.0
2020-10-13,491.0,0.0
2020-10-13,491.0,0.0
2020-10-14,550.0,1.0
2020-10-14,550.0,0.0
2020-10-15,703.0,0.0
2020-10-15,703.0,1.0
2020-10-15,703.0,0.0
2020-10-16,633.0,0.0
2020-10-16,633.0,0.0
2020-10-17,611.0,0.0
2020-10-17,611.0,0.0
2020-10-18,422.0,1.0
2020-10-18,422.0,0.0
2020-10-18,422.0,0.0
2020-10-19,313.0,1.0
2020-10-19,313.0,0.0
2020-10-19,313.0,0.0
2020-10-20,475.0,0.0
2020-10-20,475.0,0.0
2020-10-21,611.0,0.0
2020-10-21,611.0,0.0
2020-10-22,609.0,0.0
2020-10-22,609.0,1.0
2020-10-22,609.0,0.0
2020-10-22,609.0,0.0
2020-10-23,742.0,0.0
2020-10-23,742.0,0.0
2020-10-23,742.0,0.0
2020-10-23,742.0,0.0
2020-10-23,742.0,0.0
2020-10-24,712.0,0.0
2020-10-24,712.0,0.0
2020-10-24,712.0,0.0
2020-10-25,486.0,1.0
2020-10-25,486.0,1.0
2020-10-25,486.0,0.0
2020-10-25,486.0,0.0
2020-10-26,401.0,0.0
2020-10-26,401.0,0.0
2020-10-27,646.0,0.0
2020-10-27,646.0,0.0
2020-10-28,724.0,1.0
2020-10-28,724.0,0.0
2020-10-29,803.0,0.0
2020-10-29,803.0,0.0
2020-10-29,803.0,0.0
2020-10-29,803.0,0.0
2020-10-29,803.0,0.0
2020-10-29,803.0,1.0
2020-10-30,767.0,0.0
2020-10-30,767.0,0.0
2020-10-30,767.0,0.0
2020-10-31,866.0,0.0
2020-10-31,866.0,0.0
2020-10-31,866.0,1.0
2020-10-31,866.0,0.0
2020-10-31,866.0,0.0
2020-11-01,603.0,1.0
2020-11-01,603.0,0.0
2020-11-01,603.0,0.0
2020-11-01,603.0,0.0
2020-11-02,480.0,0.0
2020-11-02,480.0,1.0
2020-11-02,480.0,1.0
2020-11-02,480.0,1.0
2020-11-02,480.0,0.0
2020-11-03,860.0,0.0
2020-11-03,860.0,0.0
2020-11-04,606.0,0.0
2020-11-04,606.0,0.0
2020-11-05,1046.0,0.0
2020-11-05,1046.0,1.0
2020-11-05,1046.0,0.0
2020-11-06,1137.0,0.0
2020-11-06,1137.0,0.0
2020-11-07,1301.0,0.0
2020-11-07,1301.0,0.0
2020-11-07,1301.0,0.0
2020-11-08,934.0,0.0
2020-11-08,934.0,0.0
2020-11-09,770.0,0.0
2020-11-09,770.0,0.0
2020-11-09,770.0,0.0
2020-11-09,770.0,0.0
2020-11-10,1276.0,0.0
2020-11-10,1276.0,0.0
2020-11-11,1540.0,0.0
2020-11-11,1540.0,1.0
2020-11-11,1540.0,0.0
2020-11-11,1540.0,0.0
2020-11-12,1624.0,0.0
2020-11-12,1624.0,0.0
2020-11-12,1624.0,1.0
2020-11-12,1624.0,0.0
2020-11-13,1703.0,0.0
2020-11-13,1703.0,0.0
2020-11-13,1703.0,0.0
2020-11-13,1703.0,1.0
2020-11-13,1703.0,0.0
2020-11-13,1703.0,0.0
2020-11-14,1721.0,0.0
2020-11-14,1721.0,0.0
2020-11-15,1428.0,0.0
2020-11-15,1428.0,0.0
2020-11-15,1428.0,0.0
2020-11-16,949.0,0.0
2020-11-16,949.0,0.0
2020-11-17,1685.0,0.0
2020-11-17,1685.0,1.0
2020-11-17,1685.0,0.0
2020-11-17,1685.0,0.0
2020-11-18,2173.0,0.0
2020-11-18,2173.0,0.0
2020-11-19,2382.0,0.0
2020-11-19,2382.0,0.0
2020-11-19,2382.0,0.0
2020-11-19,2382.0,0.0
2020-11-20,2425.0,0.0
2020-11-20,2425.0,0.0
2020-11-21,2570.0,0.0
2020-11-21,2570.0,0.0
2020-11-21,2570.0,0.0
2020-11-21,2570.0,0.0
2020-11-22,2146.0,0.0
2020-11-22,2146.0,0.0
2020-11-22,2146.0,0.0
2020-11-23,1513.0,0.0
2020-11-23,1513.0,0.0
2020-11-23,1513.0,0.0
2020-11-23,1513.0,0.0
2020-11-24,1219.0,0.0
2020-11-24,1219.0,0.0
2020-11-24,1219.0,0.0
2020-11-24,1219.0,0.0
2020-11-25,1925.0,0.0
