binary_score (1:good   0: bad),news_title,news_writer,news_written_date,news_text,news_url
1,"Fewer than 2,000 new virus cases in Tokyo for 1st time in a month",['THE ASAHI SHIMBUN'],"August 30, 2021 at 18:30 JST"," Tokyo reported 1,915 fresh cases of COVID-19 on Aug. 30, down 532 from a week ago, and 12 deaths among patients in their 30s to 90s. New daily cases fell below 2,000 for the first time in the capital in about a month since 1,429 cases were reported on July 26. The tally brought Tokyo's daily average of new infections over the week through Aug. 30 to 3,708.0, or 79.6 percent of the figure for the preceding week, according to metropolitan government officials. The average number of diagnostic tests conducted in the capital over the three days through Aug. 29 stood at 9,433.7. The number of serious cases in Tokyo requiring ventilators or extracorporeal membrane oxygenation, also known as an ECMO lung bypass machine, dropped by nine from the previous day to 287. Of the 1,915 cases, 545 patients were in their 20s, followed by 369 in their 30s, 318 in their 40s and 220 in their 50s. Patients aged between 10 to 19 accounted for 202 cases, while 97 were aged 65 or older.",https://www.asahi.com//ajw/articles/14429591
0,COVID-19 cases (Aug. 29),['THE ASAHI SHIMBUN'],"August 30, 2021 at 11:30 JST",,https://www.asahi.com//ajw/articles/14429351
0,"Record virus cases for a Sunday in Osaka; Tokyo logs 3,081",['THE ASAHI SHIMBUN'],"August 29, 2021 at 18:35 JST"," Authorities in Osaka Prefecture on Aug. 29 reported 2,389 fresh cases of COVID-19, the most for a Sunday, while Tokyo confirmed 3,081 infections and 14 new deaths from the disease. In Tokyo, the seven-day average of newly confirmed infections over the week through Aug. 29 came to 3,784, representing 80 percent of the figure for the preceding week. The number of patients requiring the use of a ventilator or ECMO heart-lung bypass machine, which the Tokyo metropolitan government deems as serious cases, totaled 296, down by one compared with a record 297 the day before. The 14 patients who died were in their 40s and upward, metropolitan health officials said. Of the 3,081 new cases in Tokyo, patients in their 20s accounted for 817, followed by 595 in their 30s, 531 in their 40s and 367 teenagers. Officials said 340 patients were in their 50s and 150 were aged 65 or older. In Osaka Prefecture, authorities said there were two fatalities involving a man in his 50s and one in his 70s. Prefectural officials said 36.9 percent of hospital beds set aside for COVID-19 patients in serious condition were filled, while the comparable figure for patients with mild or modest symptoms was 84.3 percent.",https://www.asahi.com//ajw/articles/14428889
0,COVID-19 cases (Aug. 28),['THE ASAHI SHIMBUN'],"August 29, 2021 at 11:30 JST",,https://www.asahi.com//ajw/articles/14428777
0,19 COVID-19 deaths in Tokyo; serious cases hit a daily record,['THE ASAHI SHIMBUN'],"August 28, 2021 at 19:00 JST"," There was good news and bad on the COVID-19 front in Tokyo on Aug. 28. The number of fresh cases continued to fall, but no similar trend was evident in terms of related fatalities or patients suffering serious symptoms. A man in his 20s was among 19 Tokyo residents who died the same day, metropolitan government officials said. Serious cases of patients requiring the use of a ventilator or other equipment to breathe hit a record 297, up three from the previous day. Fresh cases of infection in the capital on Aug. 28 came to 3,581, a decrease of 1,493 over the previous Saturday. The daily average of cases for the week ending Aug. 28 came to 3,971.3, or 84.2 percent of the figure for the previous week. Of the latest patients, 988 were in their 20s, 701 in their 30s, 574 in their 40s and 433 in their 50s. Officials said 371 patients were aged between 10 and 19 and that 156 were 65 or older.",https://www.asahi.com//ajw/articles/14428381
0,COVID-19 cases (Aug. 27),['THE ASAHI SHIMBUN'],"August 28, 2021 at 11:30 JST",,https://www.asahi.com//ajw/articles/14428219
0,Japan breaks record of serious COVID-19 cases 15 days in a row,['THE ASAHI SHIMBUN'],"August 27, 2021 at 18:50 JST"," Tokyo confirmed 4,227 new COVID-19 cases on Aug. 27 and a record 294 patients in serious condition, according to metropolitan government officials. The number of serious cases in the capital requiring ventilators or extracorporeal membrane oxygenation, also known as an ECMO lung bypass machine, was up 18 from Aug. 26. The health ministry said on Aug. 27 that a record 2,000 patients were listed as seriously ill nationwide as of Aug. 26, the 15th consecutive day the figure topped the previous high. The number rose by 26 from Aug. 25 following a surge in new infections. Aichi Prefecture set a new record for fresh infections for the fourth straight day on Aug. 27 with 2,347, while the figure for its capital, Nagoya, exceeded 1,000 for the first time to reach 1,139. Osaka Prefecture confirmed 2,814 new cases, the second highest on record. The deaths of 18 COVID-19 patients in their 30s to 90s were also reported in Tokyo on Aug. 27. The capital’s latest number of new infections was down 1,178 from a week ago, bringing the daily average of new COVID-19 cases in the metropolis over the week through Aug. 27 to 4,184.6, or 88.6 percent of the figure for the preceding week. The average number of diagnostic tests conducted in the capital over the three days through Aug. 26 stood at 15,436.3. Of the 4,227 cases, 1,208 patients were in their 20s, followed by 785 in their 30s, 691 in their 40s and 482 in their 50s. Patients aged between 10 to 19 accounted for 427 cases, while 204 were 65 or older.",https://www.asahi.com//ajw/articles/14427606
0,"Metal substance tainted Moderna jabs, dealing setback to rollout",['THE ASAHI SHIMBUN'],"August 27, 2021 at 17:55 JST"," The foreign substance found in Moderna's COVID-19 vaccines is a metallic substance, the health ministry announced on Aug. 26. “It is metal and reacts to a magnet, and it likely fell into (the vaccines) in the manufacturing process,” a senior ministry official said. The ministry said the contaminant was found in a total of 390 doses, which were scheduled to be used at eight vaccination centers in Tokyo and Saitama, Aichi, Ibaraki and Gifu prefectures. Staff detected tainted vials and removed them from the lineup for use, the ministry said. The health ministry said there have not been any reports that a tainted jab was administered to someone or any reports of safety concerns as of Aug. 26. But the ministry said there are about 1.6 million doses of Moderna vaccines that may have also been tainted because they were manufactured on the same production line. These vaccines have been distributed at 863 vaccination sites around the country and some have already been administered to people. The ministry said it does not know how many people have received doses from these 1.6 million. But at least 946 people, including 94 lawmakers, have received a possibly tainted Moderna jab. They were used at a workplace inoculation program operated by the Diet, which started on Aug. 16. The Defense Ministry announced that 70,000 doses of possibly tainted Moderna jabs were administered at the Osaka International Convention Center, which is a makeshift large-scale vaccination center run by the Self-Defense Forces in Osaka’s Kita Ward, during the period from Aug. 6 to 20. Chief Cabinet Secretary Katsunobu Kato urged members of the public who have received the vaccine to be on the watch for possible health problems. “If you have felt that something is wrong, please consult your primary physician,” he said at a news conference. The Asahi Shimbun One way to know if an individual has indeed received a Moderna dose that was possibly tainted is to check their COVID-19 vaccination certificate, which typically comes in the form of a sticker received after each vaccination. The certificate shows the lot number the administered vaccine came from, along with the name of the manufacturer. The ministry said the tainted 390 doses share the lot number 3004667. About 570,000 doses with that lot number were imported to Japan. The ministry also released two lot numbers that may have possibly also produced tainted vaccines: 3004734, which contained about 520,000 doses, and 3004956, which had about 540,000 doses. The health ministry has ordered affected vaccination centers to stop administering vaccines from the stock of these 1.6 million doses. Takeda Pharmaceutical Co., which imports and sells Moderna vaccines, is urging personnel involved in vaccinations to check each vial carefully, regardless of its lot number. Even if a vial is not on the ministry’s “do not use” list, staffers should “visually check before use for any abnormality, such as a mixed-in foreign substance,” the company said. CANCELLATIONS AND FRUSTRATIONS Moderna’s COVID-19 vaccines have mostly been used at mass inoculation programs operated by large companies, universities and local governments, among other organizations. The latest revelation has thrown operators of such sites around the country into a mad scramble to deal with the sudden halt of scheduled inoculation programs. For some, it was not the first time they had to cope with a sudden change of schedule, as the supply of Moderna vaccines has often been insufficient and has at times fluctuated. A chamber of commerce and industry in Yamaguchi Prefecture was ready to finally launch an organization-wide vaccination program on Aug. 26. But after the health ministry announced the stoppage earlier that day, the chamber canceled it. Inoculation of its members was initially scheduled to start a month ago, but it was pushed back. The latest announcement forced the chamber to brace for yet another delay of the plan. The Japan Chamber of Commerce and Industry has urged the central government to provide information about vaccine safety and the steadiness of supply, and has also requested that replacement vaccines be sent to affected local chambers. The Okinawa Prefectural government scrapped a scheduled inoculation of 500 or so people at the Okinawa Convention Center in Ginowan and stopped taking new appointments. The prefectural government is planning to resume the operation as of Aug. 27 by providing replacement vaccines, but officials said the unforeseeable circumstances have made the situation unclear. Okinawa officials also revealed that possibly tainted vaccines were administered to 1,480 people at the convention center during the period from Aug. 20 to 25. But there have been no reports of any health concerns arising from it. The Iwate prefectural government also announced that 2,477 doses of possibly tainted vaccine were administered at mass vaccination centers run by municipal governments and workplace-related vaccination programs. News of the recall due to the tainted doses has thrown a wrench into the plans of many other organizations as well. All Nippon Airways Co. canceled its company-wide vaccination program scheduled at Haneda Airport in Tokyo on Aug. 26 and 27. The company said about 4,700 doses of possibly tainted vaccines had already been administered. But an ANA representative added, “We have nurses who check each (vial), and no intermixture has been detected.” The University of Tokyo has temporarily stopped accepting new appointments for its own vaccination program, while continuing vaccinations as of Aug. 26 as planned. Scheduled vaccinations at the International University of Health and Welfare’s Akasaka campus, Tokai University’s Shonan campus and Okayama University have also been frozen. SUGA: ‘NO MAJOR IMPACT’ Despite all the confusion and frustration, the central government insists this latest mishap will not cause delays in the nation’s already lagging vaccination rollout. “I have been told that it will not have a major impact on inoculations,” Prime Minister Yoshihide Suga told reporters on Aug. 26. The health ministry said replacements for the 1.6 million doses in question will be sent to affected sites to prevent further delays. But a senior official from the prime minister’s office admitted that it will deal a blow to progress in its vaccine rollout efforts. “Vaccination at (these) sites has been halted for now. So, it will likely have an impact.” ROVI, a pharmaceutical company in Spain that manufactures the Moderna vaccine that has been imported to and used in Japan, said in a statement dated Aug. 26 that it is currently investigating the matter. “The detection of this particulate matter refers to certain vials of one product lot distributed exclusively to Japan,” the company said. The origin of the incident “may be in one of its manufacturing lines,” it said, but “as a precaution, this lot and two adjacent lots have been put on hold.” The company said it, Moderna and Takeda are all working closely with Japanese health authorities “to clarify and solve, if applicable, this incident.”",https://www.asahi.com//ajw/articles/14427323
0,Demand among youths outstrips supply at vaccine site in Shibuya,['By KEITA YAMAGUCHI/ Staff Writer'],"August 27, 2021 at 17:45 JST"," Young people standing in a long line is a common sight in Tokyo's Shibuya Ward, but this time they weren't waiting to buy concert tickets or a trendy new beverage. Instead, they were waiting at a special COVID-19 vaccination center set up for young people by the Tokyo metropolitan government on Aug. 27. No reservation was required for a vaccination at Shibuya Ward’s labor welfare hall . However, as a long line formed from the early morning, even though the center would not open until noon, staff were forced to hand tickets out for admittance. The metropolitan government announced on the Twitter at 7:30 a.m. that it stopped taking vaccination requests at the Shibuya center for the day. The announcement said that all slots were filled and that they apologized to people who were planning to come there. But even after that, a string of young people continued to visit the center, and the Tokyo officials were forced to explain to them that they had finished accepting requests for the day. According to the metropolitan government, it initially anticipated that about 200 people would receive shots of the Pfizer vaccine per day. But on that day, more young people came to the venue than expected. A 28-year-old man, who lives in Kashiwa, Chiba Prefecture, and commutes to Tokyo’s Chiyoda Ward for his job, took the earliest train and arrived at the vaccination venue a little after 7 a.m. At first, he was worried because of the long line but he was able to obtain a ticket. “I realized that many people in the same generation want to get jabs to feel safe,” he said. “I feel sorry for people who lined up behind me and were turned away. The vaccination center should provide more slots.” The metropolitan government plans to adopt a lottery system for the next vaccination day at the center on Aug. 28 and later dates. The vaccinations will be offered at the labor welfare hall every day by Oct. 8, excluding Mondays, Sept. 12 and Oct. 3. People aged from 16 to 39 who live in Tokyo or come to the capital for their job or schooling are eligible for the jabs. They need to bring their vaccination vouchers and identification cards.",https://www.asahi.com//ajw/articles/14427453
0,High numbers of undetected virus cases feared as testing falls short,['THE ASAHI SHIMBUN'],"August 27, 2021 at 16:50 JST"," There could be “ numerous (unreported) COVID-19 patients” out in public because of the lack of available tests, as foot traffic increased in the capital, experts warned on Aug. 26. The Tokyo metropolitan government’s expert panel on response to the COVID-19 health crisis reported that foot traffic in entertainment and shopping areas in the capital, currently under a state of emergency, increased sharply after the Bon summer holidays. Pedestrian traffic as of the middle of August decreased 29.1 percent from the week prior to the fourth state of emergency, declared on July 12, while the same volume for the week through Aug. 25 dropped only 16.5 percent. The Tokyo metropolitan government has set a 50 percent goal in reduction of foot traffic, but the level is returning to the one seen prior to the state of emergency without the number of new COVID-19 patients dropping sufficiently. The expert panel reported that the daily average of new novel coronavirus cases for the week through Aug. 25 was 4,388, 95 percent of the figure for the preceding week. The positivity rate, however, remained high at 20.7 percent. Experts pointed out the possibility of numerous infections among the population that have not been detected due to the lack of available testing. Foot traffic was recorded for visitors in seven entertainment and shopping areas, including Shinjuku’s Kabukicho and Shibuya. During the daytime between noon and 6 p.m. foot traffic in the areas decreased only 13.3 percent compared to the week prior to the emergency declaration. During late night between 10 p.m. and midnight, considered to be a high-risk period for infections, it also dropped only 14.7 percent. In comparison, foot traffic for the week through Aug. 14 fell 24.7 percent during the daytime while it fell 36.4 percent during the late-night hours. The panel also reported that older adults between 40 and 64 accounted for a higher percentage of the foot traffic than those between ages 15 and 39 during all time frames. Atsushi Nishida, director of the Tokyo Metropolitan Institute of Medical Science, who researched foot traffic patterns in the capital, urged those middle-aged and senior citizens to avoid nonessential outings. “The high-risk actions of the middle-aged and senior citizens could threaten their lives and also trigger infections among their families and workplaces,” he said. (This article was written by Rihito Karube and Yoshitaka Unezawa.)",https://www.asahi.com//ajw/articles/14427373
