Date,Cummulative_Deaths,Infected,Cummulative_Recovered
2020-02-14,1.0,5.0,12.0
2020-02-15,1.0,4.0,12.0
2020-02-16,1.0,1.0,13.0
2020-02-17,1.0,6.0,12.0
2020-02-18,1.0,8.0,14.0
2020-02-19,1.0,9.0,16.0
2020-02-20,1.0,8.0,16.0
2020-02-21,1.0,13.0,16.0
2020-02-22,1.0,23.0,17.0
2020-02-23,1.0,10.0,17.0
2020-02-24,1.0,16.0,18.0
2020-02-25,1.0,8.0,23.0
2020-02-26,1.0,22.0,23.0
2020-02-27,3.0,24.0,30.0
2020-02-28,4.0,19.0,30.0
2020-02-29,5.0,9.0,31.0
2020-03-01,5.0,14.0,31.0
2020-03-02,6.0,14.0,32.0
2020-03-03,6.0,22.0,35.0
2020-03-04,6.0,34.0,37.0
2020-03-05,6.0,33.0,38.0
2020-03-06,6.0,54.0,56.0
2020-03-07,6.0,44.0,63.0
2020-03-08,6.0,35.0,67.0
2020-03-09,7.0,27.0,88.0
2020-03-10,9.0,60.0,89.0
2020-03-11,12.0,52.0,103.0
2020-03-12,15.0,55.0,108.0
2020-03-13,19.0,34.0,120.0
2020-03-14,21.0,62.0,129.0
2020-03-15,22.0,29.0,142.0
2020-03-16,24.0,16.0,149.0
2020-03-17,28.0,45.0,156.0
2020-03-18,29.0,39.0,176.0
2020-03-19,31.0,39.0,200.0
2020-03-20,33.0,52.0,212.0
2020-03-21,35.0,35.0,217.0
2020-03-22,36.0,45.0,257.0
2020-03-23,41.0,39.0,270.0
2020-03-24,42.0,89.0,285.0
2020-03-25,43.0,93.0,294.0
2020-03-26,45.0,93.0,343.0
2020-03-27,46.0,96.0,356.0
2020-03-28,49.0,222.0,388.0
2020-03-29,52.0,151.0,408.0
2020-03-30,54.0,80.0,408.0
2020-03-31,56.0,227.0,408.0
2020-04-01,57.0,257.0,456.0
2020-04-02,60.0,281.0,489.0
2020-04-03,63.0,353.0,498.0
2020-04-04,69.0,365.0,559.0
2020-04-05,70.0,346.0,568.0
2020-04-06,73.0,248.0,575.0
2020-04-07,80.0,365.0,605.0
2020-04-08,81.0,522.0,615.0
2020-04-09,85.0,574.0,668.0
2020-04-10,88.0,640.0,697.0
