日付,死亡者数
2020/2/14,1.0
2020/2/15,1.0
2020/2/16,1.0
2020/2/17,1.0
2020/2/18,1.0
2020/2/19,1.0
2020/2/20,1.0
2020/2/21,1.0
2020/2/22,1.0
2020/2/23,1.0
2020/2/24,1.0
2020/2/25,1.0
2020/2/26,1.0
2020/2/27,3.0
2020/2/28,4.0
2020/2/29,5.0
2020/3/1,5.0
2020/3/2,6.0
2020/3/3,6.0
2020/3/4,6.0
2020/3/5,6.0
2020/3/6,6.0
2020/3/7,6.0
2020/3/8,6.0
2020/3/9,7.0
2020/3/10,9.0
2020/3/11,12.0
2020/3/12,15.0
2020/3/13,19.0
2020/3/14,21.0
2020/3/15,22.0
2020/3/16,24.0
2020/3/17,28.0
2020/3/18,29.0
2020/3/19,31.0
2020/3/20,33.0
2020/3/21,35.0
2020/3/22,36.0
2020/3/23,41.0
2020/3/24,42.0
2020/3/25,43.0
2020/3/26,45.0
2020/3/27,46.0
2020/3/28,49.0
2020/3/29,52.0
2020/3/30,54.0
2020/3/31,56.0
2020/4/1,57.0
2020/4/2,60.0
2020/4/3,63.0
2020/4/4,69.0
2020/4/5,70.0
2020/4/6,73.0
2020/4/7,80.0
2020/4/8,81.0
2020/4/9,85.0
2020/4/10,88.0
2020/4/11,94.0
2020/4/12,98.0
2020/4/13,102.0
2020/4/14,109.0
2020/4/15,119.0
2020/4/16,136.0
2020/4/17,148.0
2020/4/18,154.0
2020/4/19,161.0
2020/4/20,171.0
2020/4/21,186.0
2020/4/22,277.0
2020/4/23,287.0
2020/4/24,317.0
2020/4/25,334.0
2020/4/26,348.0
2020/4/27,351.0
2020/4/28,376.0
2020/4/29,389.0
2020/4/30,415.0
2020/5/1,432.0
2020/5/2,458.0
2020/5/3,492.0
2020/5/4,510.0
2020/5/5,521.0
2020/5/6,543.0
2020/5/7,551.0
2020/5/8,600.0
2020/5/9,613.0
2020/5/10,621.0
2020/5/11,643.0
2020/5/12,668.0
2020/5/13,687.0
2020/5/14,710.0
2020/5/15,725.0
2020/5/16,744.0
2020/5/17,749.0
2020/5/18,763.0
2020/5/19,771.0
2020/5/20,777.0
2020/5/21,796.0
2020/5/22,808.0
2020/5/23,820.0
2020/5/24,830.0
2020/5/25,846.0
2020/5/26,858.0
2020/5/27,867.0
2020/5/28,874.0
2020/5/29,886.0
2020/5/30,891.0
2020/5/31,892.0
2020/6/1,894.0
2020/6/2,900.0
2020/6/3,903.0
2020/6/4,907.0
2020/6/5,914.0
2020/6/6,916.0
2020/6/7,916.0
2020/6/8,916.0
2020/6/9,919.0
2020/6/10,920.0
2020/6/11,922.0
2020/6/12,924.0
2020/6/13,925.0
2020/6/14,925.0
2020/6/15,927.0
2020/6/16,931.0
2020/6/17,935.0
2020/6/18,935.0
2020/6/19,952.0
2020/6/20,953.0
2020/6/21,953.0
2020/6/22,955.0
2020/6/23,963.0
2020/6/24,967.0
2020/6/25,968.0
2020/6/26,970.0
2020/6/27,970.0
2020/6/28,971.0
2020/6/29,971.0
2020/6/30,973.0
2020/7/1,974.0
2020/7/2,975.0
2020/7/3,976.0
2020/7/4,976.0
2020/7/5,976.0
2020/7/6,977.0
2020/7/7,979.0
2020/7/8,980.0
2020/7/9,981.0
2020/7/10,981.0
2020/7/11,981.0
2020/7/12,981.0
2020/7/13,981.0
2020/7/14,983.0
2020/7/15,984.0
2020/7/16,984.0
2020/7/17,984.0
2020/7/18,984.0
2020/7/19,984.0
2020/7/20,987.0
2020/7/21,988.0
2020/7/22,989.0
2020/7/23,991.0
2020/7/24,992.0
2020/7/25,995.0
2020/7/26,995.0
2020/7/27,997.0
2020/7/28,1000.0
2020/7/29,1003.0
2020/7/30,1005.0
2020/7/31,1010.0
2020/8/1,1011.0
2020/8/2,1011.0
2020/8/3,1015.0
2020/8/4,1021.0
2020/8/5,1025.0
2020/8/6,1032.0
2020/8/7,1036.0
2020/8/8,1039.0
2020/8/9,1046.0
2020/8/10,1051.0
2020/8/11,1058.0
2020/8/12,1062.0
2020/8/13,1072.0
2020/8/14,1084.0
2020/8/15,1087.0
2020/8/16,1098.0
2020/8/17,1114.0
2020/8/18,1127.0
2020/8/19,1143.0
2020/8/20,1154.0
2020/8/21,1168.0
2020/8/22,1175.0
2020/8/23,1180.0
2020/8/24,1195.0
2020/8/25,1208.0
2020/8/26,1225.0
2020/8/27,1237.0
2020/8/28,1254.0
2020/8/29,1263.0
2020/8/30,1278.0
2020/8/31,1295.0
2020/9/1,1306.0
2020/9/2,1318.0
2020/9/3,1329.0
2020/9/4,1348.0
2020/9/5,1356.0
2020/9/6,1362.0
2020/9/7,1376.0
2020/9/8,1392.0
2020/9/9,1405.0
2020/9/10,1411.0
2020/9/11,1422.0
2020/9/12,1438.0
2020/9/13,1441.0
2020/9/14,1450.0
2020/9/15,1460.0
2020/9/16,1472.0
2020/9/17,1481.0
2020/9/18,1494.0
2020/9/19,1499.0
2020/9/20,1499.0
2020/9/21,1507.0
2020/9/22,1511.0
2020/9/23,1519.0
2020/9/24,1531.0
2020/9/25,1539.0
2020/9/26,1544.0
2020/9/27,1547.0
2020/9/28,1556.0
2020/9/29,1563.0
2020/9/30,1570.0
2020/10/1,1577.0
2020/10/2,1589.0
2020/10/3,1596.0
2020/10/4,1598.0
