日付,退院、療養解除となった者
2020/1/29,1.0
2020/1/30,1.0
2020/1/31,1.0
2020/2/1,1.0
2020/2/2,1.0
2020/2/3,1.0
2020/2/4,1.0
2020/2/5,4.0
2020/2/6,4.0
2020/2/7,6.0
2020/2/8,9.0
2020/2/9,9.0
2020/2/10,9.0
2020/2/11,10.0
2020/2/12,11.0
2020/2/13,11.0
2020/2/14,12.0
2020/2/15,12.0
2020/2/16,13.0
2020/2/17,12.0
2020/2/18,14.0
2020/2/19,16.0
2020/2/20,16.0
2020/2/21,16.0
2020/2/22,17.0
2020/2/23,17.0
2020/2/24,18.0
2020/2/25,23.0
2020/2/26,23.0
2020/2/27,30.0
2020/2/28,30.0
2020/2/29,31.0
2020/3/1,31.0
2020/3/2,32.0
2020/3/3,35.0
2020/3/4,37.0
2020/3/5,38.0
2020/3/6,56.0
2020/3/7,63.0
2020/3/8,67.0
2020/3/9,88.0
2020/3/10,89.0
2020/3/11,103.0
2020/3/12,108.0
2020/3/13,120.0
2020/3/14,129.0
2020/3/15,142.0
2020/3/16,149.0
2020/3/17,156.0
2020/3/18,176.0
2020/3/19,200.0
2020/3/20,212.0
2020/3/21,217.0
2020/3/22,257.0
2020/3/23,270.0
2020/3/24,285.0
2020/3/25,294.0
2020/3/26,343.0
2020/3/27,356.0
2020/3/28,388.0
2020/3/29,408.0
2020/3/30,408.0
2020/3/31,408.0
2020/4/1,456.0
2020/4/2,489.0
2020/4/3,498.0
2020/4/4,559.0
2020/4/5,568.0
2020/4/6,575.0
2020/4/7,605.0
2020/4/8,615.0
2020/4/9,668.0
2020/4/10,697.0
2020/4/11,745.0
2020/4/12,767.0
2020/4/13,782.0
2020/4/14,836.0
2020/4/15,884.0
2020/4/16,918.0
2020/4/17,995.0
2020/4/18,1052.0
2020/4/19,1142.0
2020/4/20,1222.0
2020/4/21,1339.0
2020/4/22,2023.0
2020/4/23,2391.0
2020/4/24,2519.0
2020/4/25,2645.0
2020/4/26,2798.0
2020/4/27,2888.0
2020/4/28,3170.0
2020/4/29,3357.0
2020/4/30,3449.0
2020/5/1,3964.0
2020/5/2,4194.0
2020/5/3,4368.0
2020/5/4,4479.0
2020/5/5,4570.0
2020/5/6,4901.0
2020/5/7,5129.0
2020/5/8,8110.0
2020/5/9,8276.0
2020/5/10,8514.0
2020/5/11,8903.0
2020/5/12,9851.0
2020/5/13,10321.0
2020/5/14,10792.0
2020/5/15,11136.0
2020/5/16,11398.0
2020/5/17,11547.0
2020/5/18,11867.0
2020/5/19,12269.0
2020/5/20,12655.0
2020/5/21,12988.0
2020/5/22,13227.0
2020/5/23,13396.0
2020/5/24,13446.0
2020/5/25,13643.0
2020/5/26,13806.0
2020/5/27,13979.0
2020/5/28,14085.0
2020/5/29,14237.0
2020/5/30,14290.0
2020/5/31,14333.0
2020/6/1,14481.0
2020/6/2,14605.0
2020/6/3,14690.0
2020/6/4,14795.0
2020/6/5,14901.0
2020/6/6,14961.0
2020/6/7,14970.0
2020/6/8,15035.0
2020/6/9,15120.0
2020/6/10,15200.0
2020/6/11,15308.0
2020/6/12,15395.0
2020/6/13,15451.0
2020/6/14,15493.0
2020/6/15,15508.0
2020/6/16,15657.0
2020/6/17,15737.0
2020/6/18,15811.0
2020/6/19,15880.0
2020/6/20,15911.0
2020/6/21,15936.0
2020/6/22,16007.0
2020/6/23,16058.0
2020/6/24,16116.0
2020/6/25,16188.0
2020/6/26,16248.0
2020/6/27,16301.0
2020/6/28,16353.0
2020/6/29,16424.0
2020/6/30,16522.0
2020/7/1,16563.0
2020/7/2,16654.0
2020/7/3,16747.0
2020/7/4,16838.0
2020/7/5,16892.0
2020/7/6,16981.0
2020/7/7,17115.0
2020/7/8,17250.0
2020/7/9,17436.0
2020/7/10,17633.0
2020/7/11,17787.0
2020/7/12,17887.0
2020/7/13,18066.0
2020/7/14,18312.0
2020/7/15,18580.0
2020/7/16,18862.0
2020/7/17,19132.0
2020/7/18,19342.0
2020/7/19,19523.0
2020/7/20,19921.0
2020/7/21,20403.0
2020/7/22,20787.0
2020/7/23,21080.0
2020/7/24,21319.0
2020/7/25,21514.0
2020/7/26,21868.0
2020/7/27,22560.0
2020/7/28,23256.0
2020/7/29,23928.0
2020/7/30,24678.0
2020/7/31,25253.0
2020/8/1,25839.0
2020/8/2,26236.0
2020/8/3,26943.0
2020/8/4,27772.0
2020/8/5,28739.0
2020/8/6,29915.0
2020/8/7,30961.0
2020/8/8,32059.0
2020/8/9,32805.0
2020/8/10,33722.0
2020/8/11,34635.0
2020/8/12,35858.0
2020/8/13,37165.0
2020/8/14,38600.0
2020/8/15,39715.0
2020/8/16,40794.0
2020/8/17,41853.0
2020/8/18,43379.0
2020/8/19,44771.0
2020/8/20,45938.0
2020/8/21,47045.0
2020/8/22,47946.0
