Infected_total,Deaths_total,Recovered_total,Confirmed,Deaths,Recovered,Removed_tol,Date
2,0,0,0,0,0,0,2020-01-22
2,0,0,0,0,0,0,2020-01-23
2,0,0,0,0,0,0,2020-01-24
2,0,0,2,0,1,0,2020-01-25
4,0,1,0,0,0,1,2020-01-26
4,0,1,3,0,0,1,2020-01-27
7,0,1,0,0,0,1,2020-01-28
7,0,1,4,0,0,1,2020-01-29
11,0,1,4,0,0,1,2020-01-30
15,0,1,5,0,0,1,2020-01-31
20,0,1,0,0,0,1,2020-02-01
20,0,1,0,0,0,1,2020-02-02
20,0,1,2,0,0,1,2020-02-03
22,0,1,1,0,0,1,2020-02-04
23,0,1,0,0,0,1,2020-02-05
23,0,1,0,0,0,1,2020-02-06
23,0,1,1,0,0,1,2020-02-07
24,0,1,0,0,0,1,2020-02-08
24,0,1,2,0,3,1,2020-02-09
26,0,4,1,0,5,4,2020-02-10
27,0,9,1,0,0,9,2020-02-11
28,0,9,5,1,0,9,2020-02-12
33,1,9,10,0,0,10,2020-02-13
43,1,9,11,0,3,10,2020-02-14
54,1,12,6,0,0,13,2020-02-15
60,1,12,7,0,0,13,2020-02-16
67,1,12,12,1,1,13,2020-02-17
79,2,13,6,0,5,15,2020-02-18
85,2,18,10,0,0,20,2020-02-19
95,2,18,17,0,4,20,2020-02-20
112,2,22,25,0,0,24,2020-02-21
137,2,22,12,0,0,24,2020-02-22
149,2,22,11,0,0,24,2020-02-23
160,2,22,13,1,0,24,2020-02-24
173,3,22,19,0,0,25,2020-02-25
192,3,22,26,1,0,25,2020-02-26
218,4,22,18,1,0,26,2020-02-27
236,5,22,9,1,10,27,2020-02-28
245,6,32,14,0,0,38,2020-02-29
259,6,32,19,0,0,38,2020-03-01
278,6,32,20,0,11,38,2020-03-02
298,6,43,35,1,0,49,2020-03-03
333,7,43,32,0,0,50,2020-03-04
365,7,43,55,0,3,50,2020-03-05
420,7,46,46,0,30,53,2020-03-06
466,7,76,33,1,0,83,2020-03-07
499,8,76,28,2,0,84,2020-03-08
527,10,76,58,3,25,86,2020-03-09
585,13,101,55,2,17,114,2020-03-10
640,15,118,56,4,0,133,2020-03-11
696,19,118,37,2,0,137,2020-03-12
733,21,118,62,1,0,139,2020-03-13
795,22,118,31,2,0,140,2020-03-14
826,24,118,17,6,26,142,2020-03-15
843,30,144,50,0,0,174,2020-03-16
893,30,144,35,2,0,174,2020-03-17
928,32,144,40,1,6,176,2020-03-18
968,33,150,54,1,41,183,2020-03-19
1022,34,191,37,2,41,225,2020-03-20
1059,36,232,45,4,3,268,2020-03-21
1104,40,235,40,1,0,275,2020-03-22
1144,41,235,73,1,50,276,2020-03-23
1217,42,285,97,3,25,327,2020-03-24
