Date,Confirmed,Recovered,Deaths,Removed_tot,Infected_tot
2020-03-01,15,1,0,16,175
2020-03-02,16,1,0,17,190
2020-03-03,17,3,0,20,204
2020-03-04,20,3,0,23,221
2020-03-05,21,3,0,26,239
2020-03-06,26,3,0,29,262
2020-03-07,31,6,0,35,287
2020-03-08,34,6,0,41,315
2020-03-09,35,6,0,47,344
2020-03-10,41,8,1,56,376
2020-03-11,43,10,1,67,408
2020-03-12,47,10,1,78,444
2020-03-13,44,10,2,90,476
2020-03-14,47,6,2,98,515
2020-03-15,46,6,2,106,553
2020-03-16,45,9,2,117,587
2020-03-17,44,6,2,125,623
2020-03-18,41,3,2,130,659
2020-03-19,38,4,2,136,691
2020-03-20,41,10,1,147,721
2020-03-21,37,16,2,165,740
2020-03-22,39,16,2,183,761
2020-03-23,43,13,1,197,790
2020-03-24,46,20,1,218,815
2020-03-25,55,23,1,242,846
2020-03-26,64,29,2,273,879
2020-03-27,72,25,2,300,924
2020-03-28,95,24,2,326,993
2020-03-29,114,27,3,356,1077
2020-03-30,122,27,3,386,1169
2020-03-31,148,19,3,408,1295
2020-04-01,174,23,3,434,1443
2020-04-02,200,16,4,454,1623
2020-04-03,232,20,4,478,1831
2020-04-04,256,15,4,497,2068
2020-04-05,281,12,4,513,2333
2020-04-06,301,21,4,538,2609
2020-04-07,318,24,4,566,2899
2020-04-08,355,21,4,591,3229
2020-04-09,399,22,5,618,3601
2020-04-10,442,24,6,648,4013
2020-04-11,489,35,7,690,4460
2020-04-12,513,35,7,732,4931
2020-04-13,523,29,8,769,5417
2020-04-14,541,29,10,808,5919
2020-04-15,545,33,11,852,6420
2020-04-16,540,38,13,903,6909
2020-04-17,529,35,13,951,7390
2020-04-18,513,43,14,1008,7846
2020-04-19,491,56,15,1079,8266
2020-04-20,497,53,17,1149,8693
2020-04-21,480,62,19,1230,9092
2020-04-22,457,71,19,1320,9459
2020-04-23,438,84,21,1425,9792
2020-04-24,413,85,20,1530,10100
2020-04-25,376,83,20,1633,10373
2020-04-26,355,92,20,1745,10616
2020-04-27,331,105,20,1870,10822
2020-04-28,317,94,19,1983,11026
2020-04-29,291,144,18,2145,11155
2020-04-30,259,138,18,2301,11258
2020-05-01,243,206,21,2528,11274
2020-05-02,239,221,22,2771,11270
2020-05-03,236,310,23,3104,11173
2020-05-04,236,322,23,3449,11064
2020-05-05,213,371,22,3842,10884
2020-05-06,197,304,21,4167,10756
2020-05-07,181,351,19,4537,10567
2020-05-08,154,310,17,4864,10394
2020-05-09,127,385,16,5265,10120
2020-05-10,109,592,15,5872,9622
2020-05-11,90,591,14,6477,9107
2020-05-12,84,576,16,7069,8599
2020-05-13,77,632,17,7718,8027
2020-05-14,77,707,17,8442,7380
2020-05-15,72,741,18,9201,6693
2020-05-16,63,633,17,9851,6106
2020-05-17,57,432,17,10300,5714
2020-05-18,56,467,15,10782,5288
2020-05-19,48,433,14,11229,4889
2020-05-20,46,377,13,11619,4545
2020-05-21,38,400,12,12031,4171
2020-05-22,33,381,10,12422,3813
2020-05-23,29,415,9,12846,3418
2020-05-24,32,322,9,13177,3119
2020-05-25,30,292,8,13477,2849
2020-05-26,30,320,8,13805,2551
2020-05-27,29,344,7,14156,2229
2020-05-28,33,203,7,14366,2052
2020-05-29,41,172,7,14545,1914
2020-05-30,43,146,7,14698,1804
2020-05-31,42,132,6,14836,1708
2020-06-01,45,121,6,14963,1626
2020-06-02,47,110,5,15078,1558
2020-06-03,48,104,5,15187,1497
2020-06-04,44,98,4,15289,1439
2020-06-05,40,101,4,15394,1374
2020-06-06,40,94,3,15491,1317
2020-06-07,41,92,2,15585,1264
2020-06-08,39,82,3,15670,1218
2020-06-09,39,79,2,15751,1176
2020-06-10,39,73,2,15826,1140
2020-06-11,39,64,1,15891,1114
2020-06-12,41,62,1,15954,1092
2020-06-13,41,75,1,16030,1057
2020-06-14,47,74,1,16105,1029
2020-06-15,54,74,1,16180,1008
2020-06-16,53,73,2,16255,986
2020-06-17,54,76,1,16332,963
2020-06-18,57,74,1,16407,945
2020-06-19,58,68,3,16478,932
2020-06-20,61,70,4,16552,919
2020-06-21,58,62,4,16618,911
2020-06-22,54,55,3,16676,907
2020-06-23,56,63,4,16743,896
2020-06-24,61,49,4,16796,904
